,English,English_cleaned,Spanish,French,German
65,get me out of here,get me out of here,Sácame de aquí,fais-moi sortir d'ici,Hol mich hier raus
66,get me some coffee,get me some coffee,tráeme un café,apporte-moi du café,Hol mir einen Kaffee
67,get me the details,get me the details,dame los detalles,donnez-moi les détails,Holen Sie sich die Details
68,get me up at eight,get me up at eight,levantame a las ocho,me lever à huit,Hol mich um acht auf
69,get out if you can,get out if you can,sal si puedes,sors si tu peux,raus wenn du kannst
70,get out of my life,get out of my life,sal de mi vida,sortir de ma vie,verschwinde aus meinem Leben
71,get out of my room,get out of my room,sal de mi habitacion,sors de ma chambre,Raus aus meinem Zimmer
72,get out of my seat,get out of my seat,sal de mi asiento,sors de mon siège,Raus aus meinem Sitz
73,get out of the car,get out of the car,sal del auto,sortez de la voiture,Komm aus dem Auto raus
74,get out of the van,get out of the van,salir de la furgoneta,sortir de la camionnette,aus dem Wohnwagen steigen
75,get out of the way,get out of the way,Muévete del camino,bouge de là,ausweichen
76,"get real, will you",get real  will you,"sé real, ¿quieres?",devenir réel veux-tu,"werde real, wirst du"
77,get rid of the gun,get rid of the gun,deshazte del arma,se débarrasser de l'arme,die Waffe loswerden
78,get the kid to bed,get the kid to bed,llevar al niño a la cama,mettre l'enfant au lit,Bring das Kind ins Bett
79,get us out of here,get us out of here,Sácanos de aquí,sortez-nous d'ici,Hol uns hier raus
80,give tom some room,give tom some room,dale a tom un poco de espacio,donnez-lui de la place,Gib Tom etwas Platz
81,give it back to me,give it back to me,devuélvemelo,rends le moi,Gib es mir zurück
82,give me an example,give me an example,Dame un ejemplo,donne moi un exemple,gib mir ein Beispiel
83,give me half of it,give me half of it,dame la mitad,donne moi la moitié,Gib mir die Hälfte davon
84,give me more money,give me more money,dame mas dinero,donne moi plus d'argent,Gib mir mehr Geld
85,give me my glasses,give me my glasses,dame mis lentes,donne moi mes lunettes,Gib mir meine Brille
86,give me one minute,give me one minute,Dame un minuto,donne moi une minute,gib mir eine Minute
87,give me your money,give me your money,Dame tu dinero,Donne-moi ton argent,gib mir dein Geld
88,give me your phone,give me your phone,Dame tu teléfono,donne moi ton telephone,Gib mir dein Telefon
89,give me your shirt,give me your shirt,dame tu camisa,donne moi ta chemise,Gib mir dein Hemd
90,give me your sword,give me your sword,dame tu espada,donne moi ton épée,Gib mir dein Schwert
91,give me your watch,give me your watch,dame tu reloj,donne moi ta montre,Gib mir deine Uhr
92,glass is breakable,glass is breakable,el vidrio es rompible,le verre est cassant,Glas ist zerbrechlich
93,go and talk to tom,go and talk to tom,ve y habla con tom,va parler à tom,Geh und rede mit Tom
94,go and wake tom up,go and wake tom up,ve y despierta a tom,allez réveiller tom,Geh und wecke Tom auf
95,go and wake her up,go and wake her up,ve y despiertala,va la réveiller,geh und wecke sie auf
96,go back to the lab,go back to the lab,volver al laboratorio,retourner au labo,geh zurück ins Labor
97,go play in traffic,go play in traffic,ve a jugar en el tráfico,aller jouer dans la circulation,geh im Verkehr spielen
98,go to the hospital,go to the hospital,ir al hospital,aller à l'hôpital,Geh 'zum Krankenhaus
99,go up these stairs,go up these stairs,sube estas escaleras,monter ces escaliers,gehen Sie diese Treppe hinauf
100,go wash the dishes,go wash the dishes,ve a lavar los platos,va faire la vaisselle,geh das Geschirr spülen
101,hand me that broom,hand me that broom,dame esa escoba,passe-moi ce balai,Gib mir diesen Besen
102,hand me that phone,hand me that phone,pasame ese telefono,passe-moi ce téléphone,Gib mir das Telefon
103,hand me the hammer,hand me the hammer,dame el martillo,donne moi le marteau,Gib mir den Hammer
104,hand me the remote,hand me the remote,pasame el control remoto,donne moi la télécommande,Gib mir die Fernbedienung
105,hand me the wrench,hand me the wrench,dame la llave inglesa,donne moi la clé,gib mir den Schraubenschlüssel
106,happy thanksgiving,happy thanksgiving,Feliz día de acción de gracias,Joyeux Action de Graces,Frohes Thanksgiving
107,has tom been fired,has tom been fired,Tom ha sido despedido,Tom a-t-il été viré,wurde Tom gefeuert
108,has he arrived yet,has he arrived yet,ya ha llegado,est-il déjà arrivé,ist er schon angekommen
109,have a nice flight,have a nice flight,que tengas un buen vuelo,bon vol,Guten Flug
110,have another drink,have another drink,tomar otro trago,prendre un autre verre,noch etwas trinken
111,have fun in boston,have fun in boston,divertirse en boston,s'amuser à boston,Viel Spaß in Boston
112,have fun with that,have fun with that,divertirse con eso,amusez-vous avec ça,Viel Spaß dabei
113,have we met before,have we met before,Nos hemos visto antes,S'est-on déjà rencontrés,Kennen wir uns
114,have you eaten yet,have you eaten yet,No has comido todavía,as-tu déjà mangé,hast Du schon gegessen
115,have you gone nuts,have you gone nuts,te has vuelto loco,es-tu devenu fou,bist du verrückt geworden
116,have you got plans,have you got plans,tienes planes,avez-vous des plans,hast du pläne
117,have you had lunch,have you had lunch,Usted ha almorzado,as-tu déjeuné,haben Sie schon zu Mittag gegessen
118,he od'd on cocaine,he od d on cocaine,él od en la cocaína,il a pris de la cocaïne,er od d auf Kokain
119,he acted foolishly,he acted foolishly,actuó tontamente,il a agi bêtement,er hat dumm gehandelt
120,he advised caution,he advised caution,aconsejó precaución,il a conseillé la prudence,er riet zur Vorsicht
121,he appeared honest,he appeared honest,parecía honesto,il a paru honnête,er wirkte ehrlich
122,he arrived in time,he arrived in time,llegó a tiempo,il est arrivé à temps,er kam rechtzeitig an
123,he asked about you,he asked about you,preguntó por ti,il a demandé de tes nouvelles,er hat nach dir gefragt
124,he asked after you,he asked after you,preguntó por ti,il a demandé après toi,er fragte nach dir
125,he asked for money,he asked for money,pidió dinero,il a demandé de l'argent,er bat um geld
126,he asked my mother,he asked my mother,le preguntó a mi madre,il a demandé à ma mère,fragte er meine Mutter
127,he banged his head,he banged his head,se golpeó la cabeza,il s'est cogné la tête,er schlug sich den Kopf
128,he banged his knee,he banged his knee,se golpeó la rodilla,il s'est cogné le genou,er hat sich das Knie gestoßen
129,he became a sailor,he became a sailor,se hizo marinero,il est devenu marin,er wurde Seemann
130,he bores everybody,he bores everybody,el aburre a todos,il ennuie tout le monde,er langweilt alle
131,he breathed deeply,he breathed deeply,respiró profundamente,il a respiré profondément,er atmete tief durch
132,he broke the rules,he broke the rules,rompió las reglas,il a enfreint les règles,Er hat die Regeln gebrochen
133,he called for help,he called for help,pidió ayuda,il a appelé à l'aide,er rief um hilfe
134,he called me a cab,he called me a cab,me llamó un taxi,il m'a appelé un taxi,Er hat mir ein Taxi gerufen
135,he came downstairs,he came downstairs,él bajó,il est descendu,er kam nach unten
136,he came here again,he came here again,vino aquí de nuevo,il est revenu ici,er kam wieder hierher
137,he came out on top,he came out on top,salió en la cima,il est sorti vainqueur,er kam oben heraus
138,he can barely read,he can barely read,apenas puede leer,il sait à peine lire,er kann kaum lesen
139,he can drive a car,he can drive a car,él puede conducir un coche,il peut conduire une voiture,er kann ein Auto fahren
140,he can hardly walk,he can hardly walk,apenas puede caminar,il peut à peine marcher,er kann kaum laufen
141,he can swim a mile,he can swim a mile,él puede nadar una milla,il peut nager un mile,er kann eine Meile schwimmen
142,he can't handle it,he cannot handle it,él no puede manejarlo,il ne peut pas le gérer,er kann damit nicht umgehen
143,he can't keep time,he cannot keep time,no puede mantener el tiempo,il ne peut pas garder le temps,er kann die Zeit nicht halten
144,he can't sing well,he cannot sing well,no puede cantar bien,il ne sait pas bien chanter,er kann nicht gut singen
145,he can't stay long,he cannot stay long,no puede quedarse mucho tiempo,il ne peut pas rester longtemps,er kann nicht lange bleiben
146,he cannot be saved,he cannot be saved,el no puede ser salvado,il ne peut pas être sauvé,er ist nicht zu retten
147,he changed his job,he changed his job,cambió de trabajo,il a changé de travail,er hat seinen Job gewechselt
148,he closed the door,he closed the door,él cerró la puerta,il a fermé la porte,er schloß die Tür
149,he cried and cried,he cried and cried,el lloro y lloro,il a pleuré et pleuré,er weinte und weinte
150,he crushed the box,he crushed the box,aplastó la caja,il a écrasé la boîte,er zerdrückte die Kiste
151,he did a cartwheel,he did a cartwheel,hizo una voltereta,il a fait la roue,er hat ein Rad geschlagen
152,he died in his bed,he died in his bed,murió en su cama,il est mort dans son lit,er starb in seinem Bett
153,he disliked school,he disliked school,no le gustaba la escuela,il n'aimait pas l'école,er mochte die Schule nicht
154,he does not listen,he does not listen,el no escucha,il n'écoute pas,er hört nicht zu
155,he does speak well,he does speak well,él habla bien,il parle bien,er spricht gut
156,he doesn't know me,he does not know me,El no me conoce,il ne me connaît pas,er kennt mich nicht
157,he doesn't like us,he does not like us,no le gustamos,il ne nous aime pas,er mag uns nicht
158,he doesn't love me,he does not love me,el no me quiere,il ne m'aime pas,Er liebt mich nicht
159,he doesn't want it,he does not want it,el no lo quiere,il ne le veut pas,er will es nicht
160,he drives me crazy,he drives me crazy,Él me vuelve loco,Il me rend fou,er macht mich verrückt
161,he drove to school,he drove to school,él condujo a la escuela,il a conduit à l'école,er fuhr zur schule
162,he enjoyed cycling,he enjoyed cycling,le gustaba andar en bicicleta,il aimait faire du vélo,er genoss Radfahren
163,he entered my room,he entered my room,entró en mi habitación,il est entré dans ma chambre,er betrat mein Zimmer
164,he failed the exam,he failed the exam,reprobó el examen,il a raté l'examen,er hat die Prüfung nicht bestanden
165,he finally arrived,he finally arrived,finalmente llegó,il est enfin arrivé,er ist endlich angekommen
166,he forgot her name,he forgot her name,se olvidó de su nombre,il a oublié son nom,er hat ihren Namen vergessen
167,he forgot his name,he forgot his name,se olvidó de su nombre,il a oublié son nom,er hat seinen Namen vergessen
168,he found me a taxi,he found me a taxi,me encontró un taxi,il m'a trouvé un taxi,Er hat mir ein Taxi besorgt
169,he gave her a book,he gave her a book,él le dio un libro,il lui a donné un livre,Er gab ihr ein Buch
170,he gave him a book,he gave him a book,le dio un libro,il lui a donné un livre,Er gab ihm ein Buch
171,he gave me a watch,he gave me a watch,me dio un reloj,il m'a donné une montre,Er hat mir eine Uhr geschenkt
172,he got ahead of me,he got ahead of me,se me adelantó,il m'a devancé,er ist mir zuvorgekommen
173,he got off the bus,he got off the bus,se bajó del autobús,il est descendu du bus,er stieg aus dem Bus
174,he had an accident,he had an accident,el tuvo un accidente,il a eu un accident,er hatte einen Unfall
175,he had fun with it,he had fun with it,se divirtió con eso,il s'est amusé avec,es hat ihm spass gemacht
176,he had to go there,he had to go there,tenía que ir allí,il devait y aller,da musste er hin
177,he has a big mouth,he has a big mouth,tiene una boca grande,il a une grande gueule,er hat eine große Klappe
178,he has a big truck,he has a big truck,tiene un camión grande,il a un gros camion,Er hat einen großen LKW
179,he has a long nose,he has a long nose,tiene una nariz larga,il a un long nez,er hat eine lange nase
180,he has another son,he has another son,tiene otro hijo,il a un autre fils,er hat einen anderen Sohn
181,he has few friends,he has few friends,tiene pocos amigos,il a peu d'amis,er hat wenige freunde
182,he has greasy hair,he has greasy hair,tiene el pelo grasiento,il a les cheveux gras,er hat fettiges haar
183,he has his own car,he has his own car,el tiene su propio carro,il a sa propre voiture,er hat ein eigenes Auto
184,he has no children,he has no children,el no tiene hijos,il n'a pas d'enfants,er hat keine Kinder
185,he has white teeth,he has white teeth,tiene dientes blancos,il a les dents blanches,er hat weiße Zähne
186,he heard footsteps,he heard footsteps,oyó pasos,il a entendu des pas,er hörte Schritte
187,he heard the noise,he heard the noise,escuchó el ruido,il a entendu le bruit,er hörte das Geräusch
188,he heard the sound,he heard the sound,escuchó el sonido,il a entendu le son,er hörte das Geräusch
189,he held his breath,he held his breath,contuvo la respiración,il a retenu son souffle,er hielt den Atem an
190,he is a bad driver,he is a bad driver,es un mal conductor,c'est un mauvais conducteur,Er ist ein schlechter Fahrer
191,he is a bad person,he is a bad person,el es una mala persona,c'est une mauvaise personne,er ist ein schlechter mensch
192,he is a bank clerk,he is a bank clerk,él es un empleado de banco,il est employé de banque,er ist bankkaufmann
193,he is a bus driver,he is a bus driver,él es un conductor de autobus,il est chauffeur de bus,er ist ein Busfahrer
194,he is a clever boy,he is a clever boy,el es un chico inteligente,c'est un garçon intelligent,er ist ein kluger Junge
195,he is a daydreamer,he is a daydreamer,el es un soñador,c'est un rêveur,er ist ein Tagträumer
196,he is a fishmonger,he is a fishmonger,el es un pescadero,il est poissonnier,Er ist Fischhändler
197,he is a good loser,he is a good loser,es un buen perdedor,c'est un bon perdant,er ist ein guter Verlierer
198,he is a simple man,he is a simple man,el es un hombre sencillo,c'est un homme simple,er ist ein einfacher Mann
199,he is a slim child,he is a slim child,es un niño delgado,c'est un enfant mince,er ist ein schlankes Kind
200,he is about my age,he is about my age,el tiene mas o menos mi edad,il a à peu près mon âge,er ist ungefähr in meinem alter
201,he is about thirty,he is about thirty,tiene unos treinta,il a la trentaine,er ist ungefähr dreißig
202,he is about to die,he is about to die,él está a punto de morir,il est sur le point de mourir,er ist im Begriff zu sterben
203,he is all but dead,he is all but dead,él está casi muerto,il est presque mort,er ist so gut wie tot
204,he is already here,he is already here,el ya esta aqui,il est déjà là,er ist schon da
205,he is having lunch,he is having lunch,el esta almorzando,il est en train de déjeuner,er isst zu Mittag
206,he is my classmate,he is my classmate,el es mi compañero de clase,il est mon camarade de classe,Er ist mein Klassenkamerad
207,he is my colleague,he is my colleague,el es mi colega,c'est mon collègue,er ist mein kollege
208,he is no gentleman,he is no gentleman,el no es un caballero,ce n'est pas un gentleman,er ist kein Gentleman
209,he is not japanese,he is not japanese,el no es japones,il n'est pas japonais,er ist kein japaner
210,he is on the radio,he is on the radio,el esta en la radio,il est à la radio,er ist im radio
211,he is only a child,he is only a child,el es solo un niño,ce n'est qu'un enfant,er ist nur ein Kind
212,he is playing golf,he is playing golf,el esta jugando al golf,il joue au golf,er spielt golf
213,he is playing here,he is playing here,el esta jugando aqui,il joue ici,er spielt hier
214,he is sharp-witted,he is sharp witted,él es ingenioso,il a l'esprit vif,er ist scharfsinnig
215,he is so heartless,he is so heartless,el es tan desalmado,il est tellement sans coeur,er ist so herzlos
216,he is still in bed,he is still in bed,todavía está en la cama,il est encore au lit,er liegt noch im bett
217,he is sure to come,he is sure to come,seguro que viene,il est sûr de venir,er kommt sicher
218,he is thick-headed,he is thick headed,el es de cabeza gruesa,il a la tête dure,er ist dickköpfig
219,he is very careful,he is very careful,el es muy cuidadoso,il est très prudent,er ist sehr vorsichtig
220,he is very learned,he is very learned,el es muy erudito,il est très savant,er ist sehr gelehrt
221,he is well off now,he is well off now,el esta bien ahora,il est bien maintenant,jetzt geht es ihm gut
222,he isn't my cousin,he is not my cousin,el no es mi primo,ce n'est pas mon cousin,Er ist nicht mein Cousin
223,he kept his hat on,he kept his hat on,mantuvo su sombrero puesto,il a gardé son chapeau,er behielt seinen Hut auf
224,he kept me waiting,he kept me waiting,me hizo esperar,il m'a fait attendre,er ließ mich warten
225,he kept on singing,he kept on singing,siguió cantando,il a continué à chanter,er sang weiter
226,he kept quite calm,he kept quite calm,se mantuvo bastante tranquilo,il est resté assez calme,er blieb ganz ruhig
227,he kicked the ball,he kicked the ball,pateó la pelota,il a tapé dans le ballon,er hat den Ball getreten
228,he killed that man,he killed that man,él mató a ese hombre,il a tué cet homme,er hat diesen Mann getötet
229,he knows the truth,he knows the truth,el sabe la verdad,il connaît la vérité,Er kennt die Wahrheit
230,he lacks judgement,he lacks judgement,le falta juicio,il manque de jugement,es fehlt ihm an Urteilsvermögen
231,he lay on his back,he lay on his back,se acostó de espaldas,il était allongé sur le dos,er lag auf dem rücken
232,he learned to swim,he learned to swim,aprendió a nadar,il a appris à nager,er hat schwimmen gelernt
233,he leaves at eight,he leaves at eight,se va a las ocho,il part à huit,er geht um acht
234,he lied to my face,he lied to my face,me mintió en la cara,il m'a menti en face,er hat mir ins gesicht gelogen
235,he likes adventure,he likes adventure,le gusta la aventura,il aime l'aventure,Er mag Abenteuer
236,he likes sweet tea,he likes sweet tea,le gusta el té dulce,il aime le thé sucré,Er mag süßen Tee
237,he lit the candles,he lit the candles,encendió las velas,il a allumé les bougies,er zündete die Kerzen an
238,he lives near here,he lives near here,el vive cerca de aqui,il habite près d'ici,Er wohnt hier in der Nähe
239,he looks very good,he looks very good,se ve muy bien,il a l'air très bien,er sieht sehr gut aus
240,he lost everything,he lost everything,lo perdió todo,il a tout perdu,er hat alles verloren
241,he lost his memory,he lost his memory,perdió la memoria,il a perdu la mémoire,er hat sein Gedächtnis verloren
242,he loves attention,he loves attention,le encanta la atención,il aime l'attention,er liebt aufmerksamkeit
243,he loves traveling,he loves traveling,le encanta viajar,il aime voyager,er liebt es zu reisen
244,he made an apology,he made an apology,hizo una disculpa,il a fait des excuses,er entschuldigte sich
245,he may be a genius,he may be a genius,el puede ser un genio,c'est peut être un génie,er mag ein Genie sein
246,he might retaliate,he might retaliate,él podría tomar represalias,il pourrait riposter,er könnte sich revanchieren
247,he needs the money,he needs the money,el necesita el dinero,il a besoin d'argent,er braucht das Geld
248,he often gets sick,he often gets sick,a menudo se enferma,il tombe souvent malade,er wird oft krank
249,he opened the door,he opened the door,él abrió la puerta,il ouvrit la porte,er öffnet die Tür
250,he owes me a favor,he owes me a favor,me debe un favor,il me doit une faveur,Er schuldet mir einen Gefallen
251,he plays very well,he plays very well,Él juega muy bien,il joue très bien,er spielt sehr gut
252,he pulled my shirt,he pulled my shirt,tiró de mi camisa,il a tiré ma chemise,Er zog mein Hemd
253,he raised his hand,he raised his hand,levantó la mano,il a levé la main,Er hob die Hand
254,he rarely gives up,he rarely gives up,rara vez se da por vencido,il abandonne rarement,er gibt selten auf
255,he remained silent,he remained silent,permaneció en silencio,il est resté silencieux,er schwieg
256,he robbed me blind,he robbed me blind,me robó a ciegas,il m'a volé aveuglément,er hat mich blind beraubt
257,he rolled his eyes,he rolled his eyes,puso los ojos en blanco,il a roulé des yeux,er verdrehte die Augen
258,he said it himself,he said it himself,el mismo lo dijo,il l'a dit lui-même,er hat es selbst gesagt
259,he sat next to her,he sat next to her,se sentó junto a ella,il s'est assis à côté d'elle,er saß neben ihr
260,he seems to be ill,he seems to be ill,parece estar enfermo,il a l'air d'être malade,er scheint krank zu sein
261,he should be angry,he should be angry,debería estar enojado,il devrait être en colère,er sollte wütend sein
262,he should thank me,he should thank me,el deberia agradecerme,il devrait me remercier,er soll mir danken
263,he showed it to me,he showed it to me,me lo mostró,il me l'a montré,er hat es mir gezeigt
264,he sings very well,he sings very well,él canta muy bien,il chante très bien,er singt sehr gut
265,he skipped a grade,he skipped a grade,se saltó un grado,il a sauté une classe,er hat eine Klasse übersprungen
266,he smiled and left,he smiled and left,el sonrio y se fue,il a souri et est parti,er lächelte und ging
267,he speaks too fast,he speaks too fast,habla demasiado rápido,il parle trop vite,er spricht zu schnell
268,he started singing,he started singing,empezó a cantar,il a commencé à chanter,er fing an zu singen
269,he still loves her,he still loves her,él todavía la ama,il l'aime toujours,er liebt sie immer noch
270,he stole her watch,he stole her watch,le robó el reloj,il a volé sa montre,Er hat ihre Uhr gestohlen
271,he stood behind me,he stood behind me,se paró detrás de mí,il se tenait derrière moi,er stand hinter mir
272,he stood up slowly,he stood up slowly,se puso de pie lentamente,il s'est levé lentement,er stand langsam auf
273,he stopped talking,he stopped talking,dejó de hablar,il a arrêté de parler,er hörte auf zu reden
274,he stopped the car,he stopped the car,detuvo el auto,il a arrêté la voiture,er hielt das Auto an
275,he studies chinese,he studies chinese,el estudia chino,il étudie le chinois,er studiert chinesisch
276,he teaches english,he teaches english,él enseña Inglés,il enseigne l'anglais,er unterrichtet Englisch
277,he took a big risk,he took a big risk,se arriesgó mucho,il a pris un gros risque,Er ging ein großes Risiko ein
278,he took a week off,he took a week off,se tomó una semana libre,il a pris une semaine de vacances,er hat sich eine woche frei genommen
279,he touched my hand,he touched my hand,me toco la mano,il a touché ma main,Er berührte meine Hand
280,he used a fake id,he used a fake id,usó una identificación falsa,il a utilisé une fausse carte d'identité,Er benutzte einen gefälschten Ausweis
281,he waited his turn,he waited his turn,esperó su turno,il a attendu son tour,"er wartete, bis er an der Reihe war"
282,he walks to school,he walks to school,Él camina a la escuela,Il va à l'école,er geht zur Schule
283,he wants a new car,he wants a new car,él quiere un auto nuevo,il veut une nouvelle voiture,Er will ein neues Auto
284,he wants the money,he wants the money,el quiere el dinero,il veut l'argent,er will das Geld
285,he wants vengeance,he wants vengeance,el quiere venganza,il veut se venger,er will Rache
286,he was a good king,he was a good king,era un buen rey,c'était un bon roi,er war ein guter König
287,he was alone there,he was alone there,estaba solo allí,il était seul là-bas,er war allein dort
288,he was embarrassed,he was embarrassed,el estaba apenado,il était gêné,es war ihm peinlich
289,he was getting old,he was getting old,se estaba haciendo viejo,il vieillissait,er wurde alt
290,he was heartbroken,he was heartbroken,estaba desconsolado,il avait le coeur brisé,er war untröstlich
291,he was not pleased,he was not pleased,no estaba contento,il n'était pas content,er war nicht erfreut
292,he was unimpressed,he was unimpressed,no estaba impresionado,il n'était pas impressionné,er war unbeeindruckt
293,he weighs 70 kilos,he weighs 70 kilos,pesa 70 kilos,il pèse 70 kilos,er wiegt 70 kilo
294,he went by bicycle,he went by bicycle,se fue en bicicleta,il est parti à vélo,Er ist mit dem Fahrrad gefahren
295,he went on singing,he went on singing,siguió cantando,il a continué à chanter,er sang weiter
296,he went out to eat,he went out to eat,salió a comer,il est sorti manger,er ging essen
297,he won the lottery,he won the lottery,ganó la lotería,il a gagné au loto,er hat im Lotto gewonnen
298,he works all night,he works all night,el trabaja toda la noche,il travaille toute la nuit,er arbeitet die ganze Nacht
299,he works at a bank,he works at a bank,el trabaja en un banco,il travaille dans une banque,er arbeitet bei einer bank
300,he works in a bank,he works in a bank,el trabaja en un banco,Il travaille dans une banque,er arbeitet in einer Bank
301,he works very hard,he works very hard,el trabaja muy duro,il travaille très dur,Er arbeitet sehr hart
302,he'll be back soon,he will be back soon,el regresara pronto,il reviendra bientôt,er wird bald zurück sein
303,he'll be done soon,he will be done soon,él terminará pronto,il aura bientôt fini,er ist bald fertig
304,he'll be here soon,he will be here soon,él estará aquí pronto,il sera bientôt là,er wird bald hier sein
305,he'll be just fine,he will be just fine,él estará bien,il ira très bien,es wird ihm gut gehen
306,he'll wait for you,he will wait for you,el te esperara,il t'attendra,er wird auf dich warten
