,English,English_cleaned,Spanish,French,German
135,i failed,i failed,fallé,J'ai échoué,Ich bin durchgefallen
136,i forgot,i forgot,olvidé,j'ai oublié,Ich habe vergessen
137,i get it,i get it,lo entiendo,je comprends,Ich verstehe es
138,i got it,i got it,Lo tengo,j'ai compris,ich habe es verstanden
139,i helped,i helped,ayudé,j'ai aidé,ich habe geholfen
140,i jumped,i jumped,salté,j'ai sauté,ich sprang
141,i looked,i looked,Miré,j'ai regardé,ich schaute
142,i moaned,i moaned,gemí,je gémis,Ich stöhnte
143,i nodded,i nodded,asenti,J'ai hoché la tête,ich nickte
144,i obeyed,i obeyed,obedecí,j'ai obéi,ich gehorchte
145,i phoned,i phoned,yo llame,J'ai téléphoné,Ich habe telefoniert
146,i refuse,i refuse,me niego,je refuse,ich lehne ab
147,i rested,i rested,yo descanse,je me suis reposé,Ich ruhte mich aus
148,i saw it,i saw it,yo lo vi,je l'ai vu,ich sah es
149,i sighed,i sighed,Suspiré,j'ai soupiré,Ich seufzte
150,i stayed,i stayed,me quedé,je suis resté,Ich blieb
151,i talked,i talked,hablé,j'ai parlé,ich sprach
152,i use it,i use it,lo uso,je l'utilise,Ich benutze es
153,i'll pay,i will pay,pagaré,Je paierai,ich werde bezahlen
154,i'll try,i will try,intentaré,je vais essayer,ich werde versuchen
155,i'm back,i am back,Regresé,je suis de retour,Ich bin zurück
156,i'm bald,i am bald,soy calvo,je suis chauve,ich bin glatzköpfig
157,i'm busy,i am busy,Estoy ocupado,je suis occupé,Ich bin beschäftigt
158,i'm calm,i am calm,Estoy calmado,je suis calme,Ich bin ruhig
159,i'm cold,i am cold,soy frío,j'ai froid,Mir ist kalt
160,i'm cool,i am cool,soy genial,Je suis cool,ich bin cool
161,i'm deaf,i am deaf,soy sordo,je suis sourd,Ich bin taub
162,i'm done,i am done,termine,j'ai fini,ich bin fertig
163,i'm fair,i am fair,soy justo,je suis juste,ich bin fair
164,i'm fast,i am fast,soy rápido,je suis rapide,ich bin schnell
165,i'm fine,i am fine,Estoy bien,je vais bien,Mir geht's gut
166,i'm free,i am free,soy libre,je suis libre,ich bin frei
167,i'm full,i am full,estoy lleno,je suis plein,ich bin voll
168,i'm game,i am game,Soy un juego,je suis un jeu,Ich bin dabei
169,i'm glad,i am glad,me alegro,Je suis heureux,Ich bin froh
170,i'm home,i am home,estoy en casa,je suis à la maison,Ich bin zuhause
171,i'm late,i am late,llego tarde,je suis en retard,ich bin spät
172,i'm lazy,i am lazy,Soy perezoso,je suis paresseux,ich bin faul
173,i'm okay,i am okay,estoy bien,Je suis d'accord,Mir geht's gut
174,i'm rich,i am rich,Yo soy rico,Je suis riche,ich bin reich
175,i'm safe,i am safe,Estoy a salvo,Je suis sauf,Ich bin sicher
176,i'm sick,i am sick,estoy enfermo,je suis malade,ich bin krank
177,i'm sure,i am sure,estoy seguro,je suis sûr,ich bin mir sicher
178,i'm tall,i am tall,Soy alto,Je suis grand,ich bin groß
179,i'm thin,i am thin,Soy delgado,je suis mince,ich bin dünn
180,i'm tidy,i am tidy,soy ordenado,je suis bien rangé,Ich bin ordentlich
181,i'm ugly,i am ugly,soy feo,je suis laid,ich bin hässlich
182,i'm weak,i am weak,soy debil,je suis faible,ich bin schwach
183,i'm well,i am well,Yo soy así,Je vais bien,Mir geht es gut
184,i've won,i have won,Yo he ganado,j'ai gagné,ich habe gewonnen
185,it helps,it helps,ayuda,ça aide,es hilft
186,it hurts,it hurts,duele,ça fait mal,es tut weh
187,it works,it works,funciona,Ça marche,Es klappt
188,it's tom,it is tom,es tom,c'est tom,es ist tom
189,it's fun,it is fun,es divertido,c'est amusant,es macht Spaß
190,it's his,it is his,es de el,c'est le sien,es ist sein
191,it's new,it is new,es nuevo,c'est nouveau,es ist neu
192,it's odd,it is odd,Es raro,c'est étrange,es ist merkwürdig
193,it's red,it is red,es rojo,c'est rouge,es ist rot
194,it's sad,it is sad,es triste,c'est triste,es ist traurig
195,keep out,keep out,excluir,rester dehors,kein Zutritt
196,kiss tom,kiss tom,besa a tom,baiser tom,Kuss Tom
197,leave it,leave it,dejalo,laisse le,Lass es
198,leave me,leave me,Déjame,laisse-moi,verlasse mich
199,leave us,leave us,Déjanos,laisse nous,verlasse uns
200,let's go,let us go,Déjanos ir,laisse nous partir,Lass uns gehen
201,look out,look out,Estar atento,Attention,Achtung
202,marry me,marry me,Cásate conmigo,épouse-moi,Heirate mich
203,may i go,may i go,Puedo irme,puis-je partir,soll ich gehen
204,save tom,save tom,salva a tom,sauver Tom,Tom retten
205,say what,say what,Que qué,Tu peux répéter s'il te plait,sag was
206,she came,she came,ella vino,elle est venue,Sie kam
207,she died,she died,ella murió,elle mourut,Sie starb
208,she runs,she runs,ella corre,elle court,Sie rennt
209,sit down,sit down,siéntate,s'asseoir,Hinsetzen
210,sit here,sit here,siéntate aquí,asseyez-vous ici,Setz dich hier hin
211,speak up,speak up,hablar alto,parler,sprechen
212,stand up,stand up,ponerse de pie,se lever,aufstehen
213,stop tom,stop tom,detener tom,arrête tom,hör auf tom
214,taste it,taste it,pruebalo,goûte-le,schmecke es
215,tell tom,tell tom,dile a tom,dis à tom,Sag Tom
216,terrific,terrific,fantástico,formidable,umwerfend
217,they won,they won,ganaron,ils ont gagné,Sie haben gewonnen
218,tom came,tom came,tom vino,tom est venu,Tom kam
219,tom died,tom died,Tom murió,Tom est mort,Tom ist gestorben
220,tom knew,tom knew,Tom sabía,Tom savait,Tom wusste es
221,tom left,tom left,Tom se fue,tom à gauche,Tom ist gegangen
222,tom lied,tom lied,tom mintió,Tom a menti,Tom hat gelogen
223,tom lies,tom lies,tom miente,tom ment,Tom liegt
224,tom lost,tom lost,tom perdido,Tom a perdu,tom verloren
225,tom paid,tom paid,Tom pagó,Tom a payé,tom bezahlt
226,too late,too late,demasiado tarde,trop tard,zu spät
227,trust me,trust me,confía en mí,fais-moi confiance,vertrau mir
228,try hard,try hard,eforzarse,faire un effort,anstrengen
229,try some,try some,prueba,essayes-en,Versuche einige
230,try this,try this,prueba esto,essaye ça,Versuche dies
231,use this,use this,utilizar este,utilisez ceci,benutze das
232,warn tom,warn tom,advertir a tom,avertir tom,Tom warnen
233,watch me,watch me,Mírame,regarde moi,Schau mir zu
234,watch us,watch us,Míranos,Regarde nous,Schau uns zu
235,we agree,we agree,estamos de acuerdo,nous sommes d'accord,sind wir uns einig
236,we'll go,we will go,vamos a ir,nous irons,wir werden gehen
237,we're ok,we are ok,estamos bien,on va bien,Uns geht es gut
238,what for,what for,para qué,pourquoi,wozu
239,what fun,what fun,Qué divertido,Ce que c'est drôle,was für ein Spaß
240,who came,who came,quien vino,qui est venu,Wer kam
241,who died,who died,quien murió,qui est mort,Wer starb
242,who fell,who fell,quien cayó,qui est tombé,wer fiel
243,who quit,who quit,quien renuncio,qui a abandonné,wer aufhört
244,who's he,who is he,quién es él,qui est-il,Wer ist er
245,write me,write me,Escríbeme,écris moi,Schreib mir
246,you lost,you lost,perdiste,tu as perdu,du hast verloren
247,after you,after you,Después de usted,Après vous,Nach Ihnen
248,aim fire,aim fire,apuntar fuego,viser le feu,Zielfeuer
249,am i late,am i late,llegué tarde,Suis-je en retard,bin ich spät
250,answer me,answer me,respóndeme,réponds-moi,Gib mir eine Antwort
251,be seated,be seated,estar sentado,être assis,Platz nehmen
252,birds fly,birds fly,los pájaros vuelan,les oiseaux volent,Vögel fliegen
253,bless you,bless you,Salud,sois béni,Gesundheit
254,call home,call home,llama a casa,appeler à la maison,zu Hause anrufen
255,calm down,calm down,cálmate,calmer,sich beruhigen
256,can we go,can we go,podemos ir,Peut-on y aller,können wir gehen
257,catch tom,catch tom,atrapar a tom,attrape tom,Tom fangen
258,catch him,catch him,cógelo,attrapez-le,Fang ihn
259,chill out,chill out,relajarse,se détendre,Beruhige dich
260,come back,come back,regresar,revenir,Komm zurück
261,come here,come here,ven aquí,viens ici,herkommen
262,come over,come over,venir,venir,Komm
263,come soon,come soon,ven pronto,Arrive bientôt,komme bald
264,cool down,cool down,enfriarse,refroidir,abkühlen
265,did i win,did i win,Gané,Ai-je gagné,Habe ich gewonnen
266,do it now,do it now,hazlo ahora,Fais le maintenant,mach es jetzt
267,dogs bark,dogs bark,los perros ladran,les chiens aboient,Hunde bellen
268,don't ask,do not ask,No preguntes,ne demandez pas,Frag nicht
269,don't cry,do not cry,no llores,ne pleure pas,Weine nicht
270,don't die,do not die,no te mueras,ne meurs pas,Stirb nicht
271,don't lie,do not lie,no mientas,ne mens pas,Lüge nicht
272,don't run,do not run,no corras,ne cours pas,renne nicht
273,excuse me,excuse me,Perdóneme,pardon,Verzeihung
274,fantastic,fantastic,fantástico,fantastique,Fantastisch
275,feel this,feel this,siente esto,ressens ça,fühle das
276,follow me,follow me,sígueme,suis-moi,Folge mir
277,follow us,follow us,Síganos,Suivez-nous,Folge uns
278,forget it,forget it,olvídalo,oublie,Vergiss es
279,get a job,get a job,consigue un trabajo,obtenir un emploi,Such dir einen Job
280,get ready,get ready,prepararse,sois prêt,sich fertig machen
281,go get it,go get it,ve a buscarlo,Va le chercher,holen Sie es
282,go inside,go inside,ve adentro,aller à l'intérieur,gehen hinein
283,go to bed,go to bed,ve a la cama,aller au lit,zu Bett gehen
284,good luck,good luck,buena suerte,Bonne chance,viel Glück
285,grab that,grab that,toma eso,attrape ça,schnapp dir das
286,grab this,grab this,toma esto,attrape ça,schnapp dir das
287,hands off,hands off,manos fuera,Ne touchez pas,Hände weg
288,he is ill,he is ill,Él está enfermo,il est malade,er ist krank
289,he is old,he is old,él es viejo,il est vieux,er ist alt
290,he's a dj,he is a dj,el es un dj,il est DJ,er ist dj
291,he's good,he is good,el es bueno,il est bon,er ist gut
292,he's lazy,he is lazy,Él es perezoso,Il est paresseux,er ist faul
293,he's mine,he is mine,él es mío,il est à moi,er gehört mir
294,he's rich,he is rich,él es rico,il est riche,er ist reich
295,he's sexy,he is sexy,el es sexy,il est sexy,er ist sexy
296,here i am,here i am,Aquí estoy,je suis ici,Hier bin ich
297,here's $5,here s  5,aquí hay 5,voici 5,hier ist 5
298,hold fire,hold fire,Alto al fuego,tenir le feu,nicht schießen
299,hold this,hold this,sostén esto,tiens ça,halte das
300,how awful,how awful,que horrible,quelle horreur,wie schrecklich
301,how weird,how weird,que raro,comme c'est bizarre,wie seltsam
302,how's tom,how is tom,como esta tom,comment va tom,wie geht es tom
303,i am cold,i am cold,soy frío,j'ai froid,Mir ist kalt
304,i am good,i am good,estoy bien,je vais bien,Mir geht es gut
305,i am okay,i am okay,estoy bien,Je suis d'accord,Mir geht's gut
306,i am sick,i am sick,estoy enfermo,je suis malade,ich bin krank
307,i am sure,i am sure,estoy seguro,je suis sûr,ich bin mir sicher
308,i beg you,i beg you,Te lo ruego,Je vous en prie,Ich bitte Sie
309,i can run,i can run,puedo correr,je peux courir,Ich kann rennen
310,i can ski,i can ski,puedo esquíar,je peux skier,Ich kann Skifahren
311,i cringed,i cringed,me encogi,j'ai craqué,Ich zuckte zusammen
312,i exhaled,i exhaled,exhalé,j'ai expiré,ich atmete aus
313,i gave up,i gave up,Me di por vencido,J'ai abandonné,ich gab auf
314,i give in,i give in,Me rindo,je cède,Ich gebe auf
315,i give up,i give up,me doy por vencido,j'abandonne,ich gebe auf
316,i got hot,i got hot,me puse caliente,j'ai eu chaud,Mir wurde heiß
317,i had fun,i had fun,Me divertí,je me suis amusé,Ich hatte Spaß
318,i hate it,i hate it,lo odio,Je déteste ça,ich hasse es
319,i have it,i have it,lo tengo,je l'ai,ich habe es
320,i hit tom,i hit tom,golpeé a tom,j'ai frappé tom,Ich habe Tom geschlagen
321,i hope so,i hope so,eso espero,j'espere,Hoffentlich
322,i hurried,i hurried,me apuré,Je me suis dépêché,ich habe mich beeilt
323,i inhaled,i inhaled,inhalé,j'ai inhalé,ich habe eingeatmet
324,i knew it,i knew it,lo sabía,je le savais,Ich wusste es
325,i like it,i like it,Me gusta,je l'aime bien,ich mag das
326,i lost it,i lost it,lo perdí,je l'ai perdu,Ich habe es verloren
327,i love it,i love it,me encanta,je l'aime,ich liebe es
328,i mean it,i mean it,lo digo en serio,je suis sérieux,Ich meine es so
329,i must go,i must go,tengo que irme,je dois y aller,ich muss gehen
330,i need it,i need it,lo necesito,j'en ai besoin,ich brauche es
331,i noticed,i noticed,Me di cuenta de,j'ai remarqué,mir ist aufgefallen
332,i prepaid,i prepaid,prepago,j'ai prépayé,Ich habe vorausbezahlt
333,i promise,i promise,lo prometo,je promets,das verspreche ich
334,i relaxed,i relaxed,Me relajé,je me suis relaxé,Ich entspannte mich
335,i retired,i retired,Me retiré,J'ai pris ma retraite,Ich bin in Rente gegangen
336,i said no,i said no,dije que no,j'ai dit non,Ich sagte nein
337,i said so,i said so,eso dije,je l'ai dit,Ich sagte es
338,i saw him,i saw him,Yo lo vi,je l'ai vu,Ich sah ihn
339,i saw one,i saw one,vi uno,j'en ai vu un,Ich habe einen gesehen
340,i saw you,i saw you,te vi,Je t'ai vu,Ich habe Dich gesehen
341,i see tom,i see tom,veo a tom,je vois tom,Ich sehe Tom
342,i shouted,i shouted,grité,j'ai crié,Ich schrie
343,i tripped,i tripped,yo tropecé,j'ai trébuché,Ich bin gestolpert
344,i want it,i want it,lo quiero,je le veux,ich will es
345,i was new,i was new,yo era nuevo,j'étais nouveau,ich war neu
346,i will go,i will go,Voy a ir,j'irai,ich werde gehen
347,i woke up,i woke up,Me desperté,je me suis réveillé,ich erwachte
348,i'd agree,i would agree,estaría de acuerdo,Je serais d'accord,ich würde zustimmen
349,i'd leave,i would leave,me iría,je partirais,Ich würde gehen
350,i'll call,i will call,llamaré,je vais appeler,ich werde rufen
351,i'll cook,i will cook,yo voy a cocinar,je vais cuisiner,Ich werde kochen
352,i'll help,i will help,le ayudaré,Je vais vous aider,Ich werde helfen
353,i'll live,i will live,voy a vivir,je vais vivre,ich werde leben
354,i'll obey,i will obey,voy a obedecer,j'obéirai,Ich werde gehorchen
355,i'll pack,i will pack,empacaré,je vais emballer,Ich werde packen
356,i'll pass,i will pass,yo voy a pasar,je vais passer,ich werde bestehen
357,i'll quit,i will quit,yo voy a renunciar,je vais quitter,ich werde aufhören
358,i'll sing,i will sing,voy a cantar,Je chanterai,ich werde singen
359,i'll stop,i will stop,Yo parare,je vais arrêter,ich werde aufhören
360,i'll swim,i will swim,voy a nadar,je vais nager,Ich werde schwimmen
361,i'll talk,i will talk,hablaré,Je vais parler,ich werde reden
362,i'll wait,i will wait,voy a esperar,j'attendrai,ich werde warten
363,i'll walk,i will walk,Caminaré,je marcherai,Ich werde gehen
364,i'll work,i will work,trabajaré,je vais travailler,Ich werde arbeiten
365,i'm a cop,i am a cop,soy un policía,je suis flic,Ich bin ein Polizist
366,i'm a man,i am a man,Yo soy un hombre,je suis un homme,ich bin ein Mann
367,i'm alive,i am alive,estoy vivo,je suis vivant,ich bin am Leben
368,i'm alone,i am alone,estoy solo,je suis seul,Ich bin allein
369,i'm angry,i am angry,Estoy enojado,Je suis en colère,ich bin wütend
370,i'm armed,i am armed,estoy armado,je suis armé,Ich bin bewaffnet
371,i'm awake,i am awake,estoy despierto,je suis réveillé,Ich bin wach
372,i'm blind,i am blind,soy ciego,je suis aveugle,ich bin blind
373,i'm broke,i am broke,estoy quebrado,je suis fauché,ich bin Pleite
374,i'm clean,i am clean,Estoy limpio,je suis propre,Ich bin sauber
375,i'm crazy,i am crazy,estoy loco,je suis fou,ich bin verrückt
376,i'm cured,i am cured,estoy curado,je suis guéri,ich bin geheilt
377,i'm dizzy,i am dizzy,estoy mareado,Je suis sonné,mir ist schwindlig
378,i'm drunk,i am drunk,estoy borracho,je suis bourré,ich bin betrunken
379,i'm dying,i am dying,yo me estoy muriendo,je meurs,ich sterbe
380,i'm early,i am early,estoy temprano,je suis en avance,ich bin früh dran
381,i'm first,i am first,Soy el primero,je suis premier,Ich bin der erste
382,i'm fussy,i am fussy,soy quisquilloso,je suis difficile,Ich bin pingelig
383,i'm going,i am going,Yo voy,je vais,"ich würde, ich möchte"
384,i'm loyal,i am loyal,soy leal,je suis fidèle,Ich bin loyal
385,i'm lucky,i am lucky,soy afortunado,j'ai de la chance,ich bin glücklich
386,i'm lying,i am lying,estoy mintiendo,je mens,ich lüge
387,i'm naked,i am naked,estoy desnudo,je suis nu,Ich bin nackt
388,i'm quiet,i am quiet,estoy tranquilo,Je suis silencieux,Ich bin still
389,i'm ready,i am ready,estoy listo,je suis prêt,ich bin bereit
390,i'm right,i am right,yo tengo razón,j'ai raison,Ich habe recht
391,i'm sober,i am sober,estoy sobrio,je suis sobre,Ich bin nüchtern
392,i'm sorry,i am sorry,lo siento,Je m'excuse,tut mir leid
393,i'm stuck,i am stuck,Estoy atascado,je suis coincé,ich stecke fest
394,i'm timid,i am timid,soy timido,je suis timide,Ich bin schüchtern
395,i'm tired,i am tired,estoy cansado,je suis fatigué,Ich bin müde
396,i'm tough,i am tough,soy duro,je suis dur,Ich bin hart
397,i'm yours,i am yours,soy todo tuyo,Je suis à vous,Ich bin dein
398,i've lost,i have lost,he perdido,j'ai perdu,ich habe verloren
399,is tom ok,is tom ok,esta bien,est-ce que tom va bien,geht es Tom gut
400,is it bad,is it bad,Es malo,est-il mauvais,ist es schlimm
401,is it far,is it far,está lejos,est-ce loin,ist es weit
402,is it hot,is it hot,Hace calor,Est-ce que c'est chaud,Ist es heiß
403,is it you,is it you,eres tú,est-ce toi,bist du es
404,it failed,it failed,Falló,ça a échoué,es ging schief
405,it snowed,it snowed,nevó,il a neigé,es schneite
406,it stinks,it stinks,apesta,ça pue,es stinkt
407,it was ok,it was ok,estuvo bien,C'était ok,es war ok
408,it worked,it worked,funcionó,ça a marché,es funktionierte
409,it's 3:30,it is 3 30,son las 3 30,il est 3h30,es ist 3 30
410,it's 8:30,it is 8 30,son las 8 30,il est 8h30,es ist 8 30
411,it's a tv,it is a tv,es un televisor,c'est une télé,es ist ein fernseher
412,it's cold,it is cold,hace frío,il fait froid,es ist kalt
413,it's dark,it is dark,es oscuro,il fait sombre,es ist dunkel
414,it's dead,it is dead,está muerto,C'est mort,es ist tot
415,it's done,it is done,se hace,c'est fait,es ist vollbracht
416,it's easy,it is easy,es fácil,C'est facile,es ist leicht
417,it's food,it is food,es comida,c'est de la nourriture,es ist Essen
418,it's free,it is free,es gratis,ce est gratuit,Es ist frei
419,it's here,it is here,es aquí,c'est ici,es ist hier
420,it's hers,it is hers,es suyo,c'est la sienne,es ist ihrs
421,it's late,it is late,Es tarde,Il est tard,Es ist spät
422,it's lost,it is lost,está perdido,c'est perdu,es ist verloren
423,it's mine,it is mine,es mía,c'est à moi,es ist meins
424,it's open,it is open,está abierto,c'est ouvert,ist geöffnet
425,it's ours,it is ours,Es nuestro,c'est le nôtre,es ist unser
426,it's sand,it is sand,es arena,c'est du sable,es ist Sand
427,it's time,it is time,es hora,c'est l'heure,es ist Zeit
428,it's true,it is true,es verdad,c'est vrai,es ist wahr
429,it's work,it is work,eso es trabajo,C'est du travail,Es ist Arbeit
430,keep calm,keep calm,mantenga la calma,rester calme,ruhig halten
431,keep that,keep that,guarda eso,garde ça,behalte das
432,keep this,keep this,guarda esto,garde ça,behalte das
433,let it be,let it be,Deja que sea,qu'il en soit ainsi,Kümmer dich nicht darum
434,let me go,let me go,Déjame ir,laisse moi partir,Lass mich gehen
435,let me in,let me in,Déjame entrar,laisse moi entrer,Lass mich rein
436,let's ask,let us ask,preguntemos,demandons-nous,lass uns fragen
437,let's eat,let us eat,Déjanos comer,laisse nous manger,Lass uns essen
438,let's see,let us see,Dejanos ver,Voyons,Lass uns sehen
439,lie still,lie still,Quédate quieto,rester immobile,still liegen
440,look away,look away,apartar,détourne le regard,schau weg
441,look back,look back,mirar atrás,regarde en arrière,zurückschauen
442,look here,look here,mira aquí,regarde ici,Schau hier
443,loosen up,loosen up,aflojar,se détendre,lockern
444,move over,move over,moverse,bouge,übergehen
445,nice shot,nice shot,buen tiro,joli coup,schönes Foto
446,of course,of course,por supuesto,bien sûr,Natürlich
447,oh please,oh please,Oh por favor,Oh s'il vous plait,Oh bitte
448,pardon me,pardon me,Perdóname,Excusez-moi,Entschuldigung
449,read this,read this,Lee esto,lis ça,lesen Sie dies
