,English,English_cleaned,Spanish,French,German
118,i'll go shopping,i will go shopping,Iré de compras,Je vais faire du shopping,Ich werde einkaufen gehen
119,i'll go this way,i will go this way,iré por este camino,je vais passer par là,Ich werde diesen Weg gehen
120,i'll go with you,i will go with you,Iré contigo,j'irais avec toi,Ich werde mit dir gehen
121,i'll handle this,i will handle this,manejaré esto,je vais gérer ça,ich werde mich darum kümmern
122,i'll have dinner,i will have dinner,voy a cenar,Je vais dîner,ich werde zu Abend essen
123,i'll ignore that,i will ignore that,ignoraré eso,je vais ignorer ça,ich werde das ignorieren
124,i'll never learn,i will never learn,nunca aprenderé,je n'apprendrai jamais,Ich werde es nie lernen
125,i'll never leave,i will never leave,Nunca me iré,je ne partirai jamais,Ich werde niemals gehen
126,i'll pack my bag,i will pack my bag,empacaré mi bolso,je vais faire mon sac,Ich werde meine Tasche packen
127,i'll pay for you,i will pay for you,Pagaré por ti,je vais payer pour toi,Ich werde für dich bezahlen
128,i'll protect tom,i will protect tom,protegeré a tom,je protégerai tom,Ich werde Tom beschützen
129,i'll protect you,i will protect you,Te protegeré,je te protègerai,ich werde dich schützen
130,i'll say no more,i will say no more,no diré más,Je vais rien dire de plus,Ich werde nicht mehr sagen
131,i'll shut up now,i will shut up now,Ahora me voy a callar,Je vais me taire maintenant,Ich werde jetzt die Klappe halten
132,i'll sleep on it,i will sleep on it,voy a dormir en eso,je vais dormir dessus,ich werde darüber schlafen
133,i'll study a lot,i will study a lot,voy a estudiar mucho,je vais beaucoup étudier,Ich werde viel lernen
134,i'll take a beer,i will take a beer,tomaré una cerveza,je vais prendre une bière,Ich nehme ein Bier
135,i'll take it all,i will take it all,lo tomaré todo,je vais tout prendre,Ich werde alles nehmen
136,i'll treasure it,i will treasure it,lo atesoraré,je le chérirai,Ich werde es schätzen
137,i'll try my luck,i will try my luck,voy a probar mi suerte,je vais tenter ma chance,Ich werde mein Glück versuchen
138,i'll wash dishes,i will wash dishes,lavaré los platos,je ferai la vaisselle,Ich werde Geschirr spülen
139,i'm 18 years old,i am 18 years old,tengo 18 años,j'ai 18 ans,ich bin 18 Jahre alt
140,i'm 25 years old,i am 25 years old,tengo 25 años,j'ai 25 ans,ich bin 25 Jahre alt
141,i'm tom's cousin,i am tom s cousin,soy el primo de tom,je suis le cousin de tom,Ich bin Toms Cousin
142,i'm tom's sister,i am tom s sister,soy la hermana de tom,je suis la soeur de tom,Ich bin Toms Schwester
143,i'm a bank clerk,i am a bank clerk,soy empleado de banco,je suis employé de banque,Ich bin Bankkaufmann
144,i'm a bit hungry,i am a bit hungry,tengo un poco de hambre,j'ai un peu faim,Ich bin ein bisschen hungrig
145,i'm a bookkeeper,i am a bookkeeper,soy contador,je suis comptable,Ich bin Buchhalter
146,i'm a doctor now,i am a doctor now,ahora soy medico,je suis médecin maintenant,Ich bin jetzt Arzt
147,i'm a lonely man,i am a lonely man,soy un hombre solitario,je suis un homme seul,Ich bin ein einsamer Mann
148,i'm a normal guy,i am a normal guy,soy un chico normal,je suis un gars normal,Ich bin ein normaler Typ
149,i'm a programmer,i am a programmer,Soy un programador,Je suis un programmeur,Ich bin Programmierer
150,i'm a shutterbug,i am a shutterbug,soy un obturador,je suis un photographe,Ich bin ein Fotograf
151,i'm a vegetarian,i am a vegetarian,soy vegetariano,je suis végétarien,Ich bin Vegetarier
152,i'm able to swim,i am able to swim,soy capaz de nadar,je sais nager,Ich kann schwimmen
153,i'm afraid to go,i am afraid to go,tengo miedo de ir,j'ai peur d'y aller,Ich habe Angst zu gehen
154,i'm all confused,i am all confused,estoy todo confundido,je suis tout confus,Ich bin ganz verwirrt
155,i'm all for that,i am all for that,Estoy a favor de eso,je suis tout à fait pour ça,ich bin dafür
156,i'm almost there,i am almost there,Ya casi estoy allí,j'y suis presque,Ich bin fast da
157,i'm already done,i am already done,ya he terminado,j'ai déjà fini,ich bin schon fertig
158,i'm already rich,i am already rich,ya soy rico,je suis déjà riche,ich bin schon reich
159,i'm always happy,i am always happy,siempre estoy feliz,je suis toujours heureux,ich bin immer glücklich
160,i'm always moody,i am always moody,siempre estoy de mal humor,je suis toujours de mauvaise humeur,Ich bin immer launisch
161,i'm always tired,i am always tired,siempre estoy cansado,je suis toujours fatigué,ich bin immer müde
162,i'm ambidextrous,i am ambidextrous,soy ambidiestro,je suis ambidextre,ich bin beidhändig
163,i'm an alcoholic,i am an alcoholic,soy alcohólico,je suis alcoolique,Ich bin Alkoholiker
164,i'm at the beach,i am at the beach,Estoy en la playa,je suis à la plage,Ich bin am Strand
165,i'm between jobs,i am between jobs,estoy entre trabajos,je suis entre deux boulots,Ich bin zwischen Jobs
166,i'm by your side,i am by your side,estoy a tu lado,je suis à tes côtés,Ich bin an deiner Seite
167,i'm confused now,i am confused now,Yo estoy confundido ahora,je suis confus maintenant,Jetzt bin ich verwirrt
168,i'm conservative,i am conservative,soy conservador,je suis conservateur,Ich bin konservativ
169,i'm disappointed,i am disappointed,Estoy decepcionado,je suis déçu,Ich bin enttäuscht
170,i'm disorganized,i am disorganized,estoy desorganizado,je suis désorganisé,Ich bin unorganisiert
171,i'm dissatisfied,i am dissatisfied,estoy insatisfecho,je suis mécontent,ich bin unzufrieden
172,i'm done with it,i am done with it,Acabé con eso,j'en ai fini avec ça,ich bin fertig damit
173,i'm eating beans,i am eating beans,estoy comiendo frijoles,je mange des haricots,Ich esse Bohnen
174,i'm eating lunch,i am eating lunch,estoy almorzando,je mange mon déjeuner,ich esse Mittag
175,i'm fairly happy,i am fairly happy,estoy bastante feliz,je suis assez content,Ich bin ziemlich glücklich
176,i'm feeling good,i am feeling good,me siento bien,Je me sens bien,ich fühle mich gut
177,i'm feeling sick,i am feeling sick,Me estoy sintiendo mal,je me sens malade,ich fühle mich krank
178,i'm fine with it,i am fine with it,Estoy bien con eso,ça me va,Ich bin damit einverstanden
179,i'm freaking out,i am freaking out,me estoy volviendo loco,je flippe,ich dreh durch
180,i'm from america,i am from america,soy de América,je viens d'Amérique,Ich komme aus Amerika
181,i'm from the fbi,i am from the fbi,soy del fbi,je suis du fbi,ich bin vom fbi
182,i'm going to bed,i am going to bed,me voy a la cama,Je vais au lit,Ich gehe schlafen
183,i'm going to die,i am going to die,voy a morir,je vais mourir,ich werde sterben
184,i'm going to try,i am going to try,Voy a intentarlo,je vais essayer,Ich werde es versuchen
185,i'm good for now,i am good for now,estoy bien por ahora,je vais bien pour l'instant,Ich bin gut für jetzt
186,i'm happy enough,i am happy enough,soy lo suficientemente feliz,je suis assez heureux,Ich bin glücklich genug
187,i'm heading home,i am heading home,me dirijo a casa,je rentre chez moi,Ich gehe nach Hause
188,i'm homeschooled,i am homeschooled,estoy educado en casa,je suis scolarisé à la maison,Ich werde zu Hause unterrichtet
189,i'm housesitting,i am housesitting,estoy cuidando una casa,je garde la maison,Ich bin Haussitter
190,i'm hungry again,i am hungry again,tengo hambre otra vez,j'ai encore faim,Ich habe wieder Hunger
191,i'm ignoring you,i am ignoring you,te estoy ignorando,je t'ignore,ich ignoriere dich
192,i'm in the attic,i am in the attic,estoy en el ático,je suis dans le grenier,Ich bin auf dem Dachboden
193,i'm in the house,i am in the house,Estoy en la casa,Je suis dans la maison,Ich bin im Haus
194,i'm inviting you,i am inviting you,te estoy invitando,je t'invite,ich lade dich ein
195,i'm just a child,i am just a child,solo soy un niño,je ne suis qu'un enfant,Ich bin nur ein Kind
196,i'm just curious,i am just curious,Tengo curiosidad,je suis juste curieux,ich bin nur neugierig
197,i'm just kidding,i am just kidding,sólo bromeaba,Je plaisante,ich scherze nur
198,i'm just looking,i am just looking,solo estoy viendo,Je regarde juste,ich schaue nur
199,i'm killing time,i am killing time,estoy matando el tiempo,je tue le temps,Ich schlage die Zeit tot
200,i'm kind of full,i am kind of full,estoy un poco lleno,je suis un peu plein,Ich bin irgendwie voll
201,i'm nearly blind,i am nearly blind,estoy casi ciego,je suis presque aveugle,ich bin fast blind
202,i'm no different,i am no different,no soy diferente,je ne suis pas différent,mir geht es nicht anders
203,i'm not a beggar,i am not a beggar,no soy un mendigo,je ne suis pas un mendiant,Ich bin kein Bettler
204,i'm not a coward,i am not a coward,no soy un cobarde,je ne suis pas un lâche,Ich bin kein Feigling
205,i'm not a doctor,i am not a doctor,Yo no soy un médico,Je ne suis pas un docteur,Ich bin kein Arzt
206,i'm not a genius,i am not a genius,no soy un genio,je ne suis pas un génie,Ich bin kein Genie
207,i'm not a lawyer,i am not a lawyer,yo no soy un abogado,je ne suis pas avocat,Ich bin kein Anwalt
208,i'm not a singer,i am not a singer,no soy cantante,je ne suis pas un chanteur,Ich bin kein Sänger
209,i'm not an idiot,i am not an idiot,no soy un idiota,je ne suis pas idiot,Ich bin kein Idiot
210,i'm not at fault,i am not at fault,yo no tengo la culpa,je ne suis pas fautif,ich bin nicht schuld
211,i'm not bluffing,i am not bluffing,no estoy mintiendo,je ne bluffe pas,Ich bluffe nicht
212,i'm not blushing,i am not blushing,no me estoy sonrojando,je ne rougis pas,ich werde nicht rot
213,i'm not bragging,i am not bragging,no estoy presumiendo,je ne me vante pas,Ich prahle nicht
214,i'm not counting,i am not counting,no estoy contando,je ne compte pas,ich zähle nicht
215,i'm not creative,i am not creative,no soy creativo,je ne suis pas créatif,Ich bin nicht kreativ
216,i'm not dead yet,i am not dead yet,aun no estoy muerto,je ne suis pas encore mort,ich bin noch nicht tot
217,i'm not done yet,i am not done yet,no he terminado todavia,je n'ai pas encore fini,ich bin noch nicht fertig
218,i'm not dreaming,i am not dreaming,no estoy soñando,je ne rêve pas,ich träume nicht
219,i'm not fighting,i am not fighting,no estoy peleando,je ne me bats pas,ich kämpfe nicht
220,i'm not finished,i am not finished,no he terminado,je n'ai pas fini,ich bin noch nicht fertig
221,i'm not like you,i am not like you,no soy como tu,je ne suis pas comme toi,Ich bin nicht wie du
222,i'm not mistaken,i am not mistaken,no me equivoco,je ne me trompe pas,ich irre mich nicht
223,i'm not offended,i am not offended,no estoy ofendido,je ne suis pas offensé,Ich bin nicht beleidigt
224,i'm not outgoing,i am not outgoing,no soy extrovertido,je ne suis pas sortant,Ich bin nicht kontaktfreudig
225,i'm not paranoid,i am not paranoid,no soy paranoico,je ne suis pas paranoïaque,ich bin nicht paranoid
226,i'm not so lucky,i am not so lucky,no soy tan afortunado,je n'ai pas cette chance,Ich bin nicht so glücklich
227,i'm not so tired,i am not so tired,no estoy tan cansado,je ne suis pas si fatigué,Ich bin nicht so müde
228,i'm not sure why,i am not sure why,No estoy seguro por qué,Je ne suis pas sûr pourquoi,Ich bin mir nicht sicher warum
229,i'm not sweating,i am not sweating,no estoy sudando,je ne transpire pas,ich schwitze nicht
230,i'm not that bad,i am not that bad,no soy tan malo,je ne suis pas si mal,ich bin nicht so schlimm
231,i'm not the boss,i am not the boss,yo no soy el jefe,je ne suis pas le patron,Ich bin nicht der Chef
232,i'm not your son,i am not your son,no soy tu hijo,je ne suis pas ton fils,Ich bin nicht dein Sohn
233,i'm on death row,i am on death row,estoy en el corredor de la muerte,je suis dans le couloir de la mort,Ich bin im Todestrakt
234,i'm on the phone,i am on the phone,estoy en el teléfono,je suis au téléphone,Ich bin am Handy
235,i'm on your side,i am on your side,estoy de tu lado,je suis de ton côté,ich bin an deiner Seite
236,i'm out of ideas,i am out of ideas,Se me acabaron las ideas,Je n'ai plus d'idées,Mir gehen die Ideen aus
237,i'm out of shape,i am out of shape,estoy fuera de forma,je ne suis pas en forme,Ich bin außer Form
238,i'm overreacting,i am overreacting,estoy exagerando,je réagis de manière excessive,ich reagiere über
239,i'm pretty angry,i am pretty angry,estoy bastante enojado,je suis assez en colère,ich bin ziemlich sauer
240,i'm pretty happy,i am pretty happy,estoy bastante feliz,je suis assez content,Ich bin ziemlich glücklich
241,i'm pretty short,i am pretty short,soy bastante bajo,je suis assez petit,Ich bin ziemlich klein
242,i'm proud of you,i am proud of you,estoy orgulloso de ti,Je suis fier de toi,ich bin stolz auf dich
243,i'm real careful,i am real careful,soy muy cuidadoso,je suis vraiment prudent,Ich bin wirklich vorsichtig
244,i'm really angry,i am really angry,estoy muy enojado,je suis vraiment en colère,Ich bin wirklich wütend
245,i'm really happy,i am really happy,Estoy realmente feliz,Je suis vraiment heureux,ich bin sehr glücklich
246,i'm really tired,i am really tired,estoy realmente cansado,je suis vraiment fatigué,Ich bin wirklich müde
247,"i'm retired, too",i am retired  too,yo tambien estoy jubilado,je suis aussi à la retraite,ich bin auch pensioniert
248,i'm sick of fish,i am sick of fish,estoy harto de pescado,j'en ai marre du poisson,Ich habe genug von Fisch
249,i'm sick of this,i am sick of this,estoy harto de esto,J'en ai marre de ça,Ich habe es satt
250,i'm sitting down,i am sitting down,estoy sentado,je suis assis,Ich sitze
251,i'm staying here,i am staying here,me quedo aquí,je reste ici,Ich bleibe hier
252,i'm still hungry,i am still hungry,todavía tengo hambre,j'ai encore faim,ich bin immer noch hungrig
253,i'm still single,i am still single,Sigo soltero,je suis toujours célibataire,Ich bin immer noch single
254,i'm still sleepy,i am still sleepy,todavía tengo sueño,j'ai encore sommeil,ich bin immer noch schläfrig
255,i'm still trying,i am still trying,todavía estoy intentando,j'essaye encore,Ich versuche es immer noch
256,i'm stronger now,i am stronger now,soy más fuerte ahora,je suis plus fort maintenant,Ich bin jetzt stärker
257,i'm super hungry,i am super hungry,tengo mucha hambre,j'ai super faim,Ich bin super hungrig
258,i'm sure of this,i am sure of this,Estoy seguro de ello,Je suis certain de cela,Ich bin mir dessen sicher
259,i'm the boss now,i am the boss now,yo soy el jefe ahora,je suis le patron maintenant,Ich bin jetzt der Boss
260,i'm very serious,i am very serious,Soy muy serio,je suis très sérieux,ich meine das sehr ernst
261,i'm very thirsty,i am very thirsty,tengo mucha sed,j'ai très soif,ich bin sehr durstig
262,i'm volunteering,i am volunteering,soy voluntario,je fais du bénévolat,ich engagiere mich ehrenamtlich
263,i'm watching you,i am watching you,te estoy vigilando,je te regarde,ich beobachte dich
264,i'm working here,i am working here,Estoy trabajando aquí,je travaille ici,ich arbeite hier
265,i'm your brother,i am your brother,soy tu hermano,je suis ton frère,ich bin dein Bruder
266,i'm your partner,i am your partner,soy tu pareja,je suis votre partenaire,Ich bin dein Partner
267,i've done my job,i have done my job,he hecho mi trabajo,j'ai fait mon travail,Ich habe meine Arbeit getan
268,i've drawn a map,i have drawn a map,he dibujado un mapa,j'ai dessiné une carte,Ich habe eine Karte gezeichnet
269,i've found a job,i have found a job,he encontrado un trabajo,j'ai trouvé un travail,Ich habe einen Job gefunden
270,i've got company,i have got company,tengo compañia,j'ai de la compagnie,Ich habe Gesellschaft
271,i've got to know,i have got to know,tengo que saber,je dois savoir,ich muss es wissen
272,i've hurt myself,i have hurt myself,me he lastimado,je me suis fait mal,ich habe mich verletzt
273,i've lost my bag,i have lost my bag,he perdido mi bolso,j'ai perdu mon sac,Ich habe meine Tasche verloren
274,i've lost my key,i have lost my key,He perdido mi llave,J'ai perdu ma clé,Ich habe meinen Schlüssel verloren
275,i've lost weight,i have lost weight,he perdido peso,j'ai perdu du poids,ich habe abgenommen
276,i've never tried,i have never tried,nunca lo he intentado,je n'ai jamais essayé,Ich habe es nie versucht
277,i've never voted,i have never voted,nunca he votado,je n'ai jamais voté,Ich habe noch nie gewählt
278,i've seen enough,i have seen enough,he visto suficiente,j'en ai assez vu,Ich habe genug gesehen
279,i've seen it all,i have seen it all,Lo he visto todo,j'ai tout vu,Ich habe alles gesehen
280,"if not now, when",if not now  when,"si no es ahora, cuando",si pas maintenant quand,wenn nicht jetzt wann
281,"ironic, isn't it",ironic  is not it,irónico no es,ironique n'est-ce pas,ironisch ist es nicht
282,is tom a witness,is tom a witness,es tom un testigo,est-ce que je suis un témoin,ist Tom ein Zeuge
283,is tom all right,is tom all right,¿Tom está bien?,est-ce que tom va bien,ist Tom in Ordnung
284,is tom an artist,is tom an artist,es tom un artista,est-ce que tom est un artiste,ist tom ein künstler
285,is tom your name,is tom your name,es tom tu nombre,est-ce que ton nom est tom,ist tom dein name
286,is anybody there,is anybody there,Hay alguien ahí,Y-a-t-il quelqu'un là-bas,ist da jemand
287,is everyone busy,is everyone busy,¿Están todos ocupados?,est-ce que tout le monde est occupé,sind alle beschäftigt
288,is everyone here,is everyone here,¿Están todos aquí?,Est-ce que tout le monde est ici,sind schon alle da
289,is everything ok,is everything ok,esta todo bien,est-ce que tout va bien,ist alles in Ordnung
290,is he still here,is he still here,¿Todavía está aquí?,est-il toujours là,ist er noch da
291,is it accessible,is it accessible,¿Es accesible?,est-il accessible,ist es zugänglich
292,is it contagious,is it contagious,Es contagioso,Est-ce contagieux,Ist es ansteckend
293,is she all right,is she all right,ella esta bien,est-ce qu'elle va bien,geht es ihr gut
294,is she beautiful,is she beautiful,Es ella bella,est-elle jolie,ist sie schön
295,is that a riddle,is that a riddle,es eso un acertijo,est-ce une énigme,ist das ein rätsel
