,English,English_cleaned,Spanish,French,German
34,he helped me move,he helped me move,me ayudó a mover,il m'a aidé à déménager,Er hat mir beim Umzug geholfen
35,he himself did it,he himself did it,el mismo lo hizo,il l'a fait lui même,er selbst hat es getan
36,he is a big eater,he is a big eater,él es un gran comedor,c'est un gros mangeur,er ist ein großer Esser
37,he is a biologist,he is a biologist,el es biólogo,c'est un biologiste,er ist Biologe
38,he is a born poet,he is a born poet,es un poeta nato,c'est un poète né,er ist ein geborener Dichter
39,he is a brave man,he is a brave man,el es un hombre valiente,c'est un homme courageux,Er ist ein mutiger Mann
40,he is a daredevil,he is a daredevil,el es un temerario,c'est un casse-cou,er ist ein Draufgänger
41,he is a detective,he is a detective,el es un detective,c'est un détective,Er ist ein Detektiv
42,he is a dramatist,he is a dramatist,el es un dramaturgo,c'est un dramaturge,Er ist Dramatiker
43,he is a gentleman,he is a gentleman,el es un caballero,c'est un gentleman,er ist ein herr
44,he is a physicist,he is a physicist,el es un fisico,c'est un physicien,er ist physiker
45,he is a quiet man,he is a quiet man,el es un hombre tranquilo,c'est un homme tranquille,er ist ein ruhiger mann
46,he is a scientist,he is a scientist,Él es un científico,c'est un scientifique,er ist wissenschaftler
47,he is about forty,he is about forty,tiene unos cuarenta,il a une quarantaine d'années,er ist ungefähr vierzig
48,he is an american,he is an american,el es un americano,c'est un américain,er ist amerikaner
49,he is an evil man,he is an evil man,el es un hombre malvado,c'est un homme mauvais,er ist ein böser Mann
50,he is at his desk,he is at his desk,el esta en su escritorio,il est à son bureau,er sitzt an seinem schreibtisch
51,he is beyond help,he is beyond help,él está más allá de la ayuda,il est au-delà de l'aide,ihm ist nicht mehr zu helfen
52,he is beyond hope,he is beyond hope,él está más allá de la esperanza,il est au-delà de tout espoir,er ist hoffnungslos
53,he is getting old,he is getting old,el esta envejeciendo,il vieillit,er wird alt
54,he is in business,he is in business,el esta en el negocio,il est en affaires,er ist im geschäft
55,he is incompetent,he is incompetent,el es incompetente,il est incompétent,er ist unfähig
56,he is influential,he is influential,el es influyente,il est influent,er ist einflussreich
57,he is intelligent,he is intelligent,él es inteligente,il est intelligent,er ist intelligent
58,he is introverted,he is introverted,el es introvertido,il est introverti,er ist introvertiert
59,he is just my age,he is just my age,el tiene mi edad,il a juste mon âge,er ist einfach in meinem alter
60,he is not married,he is not married,el no esta casado,il n'est pas marié,er ist nicht verheiratet
61,he is not so tall,he is not so tall,el no es tan alto,il n'est pas si grand,er ist nicht so groß
62,he is on the team,he is on the team,el esta en el equipo,il est dans l'équipe,Er ist im Team
63,he is quite right,he is quite right,el tiene toda la razon,il a bien raison,er hat recht
64,he is running now,he is running now,el esta corriendo ahora,il court maintenant,er läuft jetzt
65,he is still alive,he is still alive,sigue vivo,il est toujours vivant,er lebt noch
66,he is still angry,he is still angry,todavía está enojado,il est toujours en colère,er ist immer noch wütend
67,he is teaching me,he is teaching me,el me esta enseñando,il m'apprend,er unterrichtet mich
68,he is unrealistic,he is unrealistic,el es poco realista,il est irréaliste,er ist unrealistisch
69,he is very honest,he is very honest,el es muy honesto,il est très honnête,er ist sehr ehrlich
70,he is walking now,he is walking now,el esta caminando ahora,il marche maintenant,er geht jetzt
71,he is watching tv,he is watching tv,el esta viendo television,il regarde la télé,er schaut Fernsehen
72,he isn't here now,he is not here now,el no esta aqui ahora,il n'est pas là maintenant,er ist jetzt nicht hier
73,he just texted me,he just texted me,me acaba de enviar un mensaje de texto,il vient de m'envoyer un texto,er hat mir gerade geschrieben
74,he keeps his word,he keeps his word,el mantiene su palabra,il tient parole,er hält sein Wort
75,he keeps two cats,he keeps two cats,tiene dos gatos,il garde deux chats,er hält zwei katzen
76,he kept it secret,he kept it secret,lo mantuvo en secreto,il a gardé le secret,er hielt es geheim
77,he kept on crying,he kept on crying,siguió llorando,il n'arrêtait pas de pleurer,er weinte weiter
78,he killed himself,he killed himself,se mató,il s'est suicidé,er hat sich umgebracht
79,he knows too much,he knows too much,el sabe demasiado,il en sait trop,er weiß zu viel
80,he lay on the bed,he lay on the bed,se acostó en la cama,il était allongé sur le lit,er lag auf dem bett
81,he left the house,he left the house,se fue de la casa,il a quitté la maison,er verließ das Haus
82,he likes my jokes,he likes my jokes,le gustan mis chistes,il aime mes blagues,Er mag meine Witze
83,he likes sleeping,he likes sleeping,le gusta dormir,il aime dormir,er schläft gern
84,he lives above me,he lives above me,el vive encima de mi,il habite au dessus de moi,er lebt über mir
85,he lives close by,he lives close by,el vive cerca,il habite tout près,er wohnt in der nähe
86,he lives frugally,he lives frugally,vive frugalmente,il vit modestement,er lebt sparsam
87,he lives in kyoto,he lives in kyoto,el vive en kioto,il vit à kyoto,er lebt in kyoto
88,he lives in osaka,he lives in osaka,el vive en osaka,il vit à osaka,Er lebt in Osaka
89,he lives in tokyo,he lives in tokyo,el vive en tokio,il vit à tokyo,er lebt in tokio
90,he looks after us,he looks after us,el cuida de nosotros,il veille sur nous,er passt auf uns auf
91,he looks confused,he looks confused,se ve confundido,il a l'air confus,er sieht verwirrt aus
92,he looks familiar,he looks familiar,parece familiar,il a l'air familier,er kommt mir bekannt vor
93,he lost his honor,he lost his honor,perdió su honor,il a perdu son honneur,er hat seine Ehre verloren
94,he made a mistake,he made a mistake,él cometió un error,il a fait une erreur,er hat einen Fehler gemacht
95,he made me a cake,he made me a cake,me hizo un pastel,il m'a fait un gâteau,Er hat mir einen Kuchen gebacken
96,he made me a suit,he made me a suit,me hizo un traje,il m'a fait un costume,Er hat mir einen Anzug gemacht
97,he may come today,he may come today,el puede venir hoy,il peut venir aujourd'hui,vielleicht kommt er heute
98,he moved to tokyo,he moved to tokyo,se mudó a tokio,il a déménagé à tokyo,er zog nach tokio
99,he must find work,he must find work,debe encontrar trabajo,il doit trouver du travail,er muss Arbeit finden
100,he needed to rest,he needed to rest,necesitaba descansar,il avait besoin de se reposer,er musste sich ausruhen
101,he never asked me,he never asked me,el nunca me pregunto,il ne m'a jamais demandé,er hat mich nie gefragt
102,he owns this land,he owns this land,él es dueño de esta tierra,il est propriétaire de ce terrain,er besitzt dieses Land
103,he raised his arm,he raised his arm,levantó el brazo,il a levé le bras,er hob seinen Arm
104,he raised his hat,he raised his hat,levantó su sombrero,il a levé son chapeau,er hob seinen Hut
105,he ran five miles,he ran five miles,corrió cinco millas,il a couru cinq milles,er lief fünf Meilen
106,he refused to pay,he refused to pay,se negó a pagar,il a refusé de payer,er weigerte sich zu zahlen
107,he requested help,he requested help,pidió ayuda,il a demandé de l'aide,er bat um hilfe
108,he ruined my life,he ruined my life,el arruino mi vida,il a ruiné ma vie,Er hat mein Leben ruiniert
109,he runs very fast,he runs very fast,él corre muy rápido,il court très vite,er läuft sehr schnell
110,he sat on the bed,he sat on the bed,se sentó en la cama,il s'est assis sur le lit,Er saß auf dem Bett
111,he saved a sailor,he saved a sailor,salvó a un marinero,il a sauvé un marin,Er hat einen Seemann gerettet
112,he saw everything,he saw everything,vio todo,il a tout vu,er hat alles gesehen
113,he shook his head,he shook his head,sacudió la cabeza,il secoua la tête,er schüttelte den Kopf
114,he skipped a year,he skipped a year,se saltó un año,il a sauté une année,er hat ein Jahr übersprungen
115,he speaks chinese,he speaks chinese,el habla chino,il parle chinois,er spricht chinesisch
116,he speaks english,he speaks english,el habla ingles,il parle anglais,er spricht Englisch
117,he speaks russian,he speaks russian,el habla ruso,il parle russe,er spricht russisch
118,he speaks quickly,he speaks quickly,el habla rapido,il parle vite,er spricht schnell
119,he started to cry,he started to cry,el empezo a llorar,il a commencé à pleurer,er fing an zu weinen
120,he stayed up late,he stayed up late,se quedó despierto hasta tarde,il s'est couché tard,er blieb lange auf
121,he stole my heart,he stole my heart,él robó mi corazón,il a volé mon coeur,er hat mein Herz gestohlen
122,he struck a match,he struck a match,él encendió un fósforo,il a frotté une allumette,er zündete ein Streichholz an
123,he takes vitamins,he takes vitamins,el toma vitaminas,il prend des vitamines,Er nimmt Vitamine
124,he talks too fast,he talks too fast,habla demasiado rápido,il parle trop vite,er redet zu schnell
125,he teaches arabic,he teaches arabic,él enseña árabe,il enseigne l'arabe,er unterrichtet arabisch
126,he threw the ball,he threw the ball,tiró la pelota,il a lancé la balle,er hat den Ball geworfen
127,he told the truth,he told the truth,dijo la verdad,il a dit la vérité,er hat die Wahrheit gesagt
128,he took a day off,he took a day off,se tomó un día libre,il a pris un jour de congé,er hat sich einen tag frei genommen
129,he took a picture,he took a picture,tomó una foto,il a pris une photo,er hat ein foto gemacht
130,he turned the key,he turned the key,él giró la llave,il a tourné la clé,er drehte den schlüssel
131,he turned traitor,he turned traitor,se volvió traidor,il est devenu traître,er wurde zum Verräter
132,he twisted my arm,he twisted my arm,me torció el brazo,il m'a tordu le bras,Er hat mir den Arm verdreht
133,he wakes up early,he wakes up early,él se despierta temprano,il se réveille tôt,er wacht früh auf
134,he walked quietly,he walked quietly,caminó en silencio,il marchait tranquillement,er ging leise
135,he wants an apple,he wants an apple,el quiere una manzana,il veut une pomme,Er will einen Apfel
136,he wants to speak,he wants to speak,el quiere hablar,il veut parler,er will sprechen
137,he was a bit late,he was a bit late,llegó un poco tarde,il était un peu en retard,er war etwas spät dran
138,he was a tall man,he was a tall man,el era un hombre alto,c'était un homme grand,er war ein großer Mann
139,he was imprisoned,he was imprisoned,Él fue encarcelado,il a été emprisonné,er wurde eingesperrt
140,he was raging mad,he was raging mad,estaba furioso,il était fou de rage,er war stinksauer
141,he was tired then,he was tired then,estaba cansado entonces,il était fatigué alors,dann war er müde
142,he was very happy,he was very happy,Él era muy feliz,il était très heureux,er war sehr glücklich
143,he was wide awake,he was wide awake,estaba bien despierto,il était bien éveillé,er war hellwach
144,he went back home,he went back home,volvió a casa,il est rentré chez lui,er ging nach Hause zurück
145,he went ballistic,he went ballistic,se volvió balístico,il est devenu balistique,er wurde ballistisch
146,he will be missed,he will be missed,Él será extrañado,il va nous manquer,er wird vermisst werden
147,he will come back,he will come back,el volverá,Il reviendra,er wird zurückkommen
148,he will come soon,he will come soon,él vendrá pronto,il viendra bientôt,er wird bald kommen
149,he will excuse me,he will excuse me,el me disculpara,il m'excusera,er wird mich entschuldigen
150,he wore old shoes,he wore old shoes,usaba zapatos viejos,il portait de vieilles chaussures,Er trug alte Schuhe
151,he wore red pants,he wore red pants,vestía pantalones rojos,il portait un pantalon rouge,Er trug eine rote Hose
152,he works at night,he works at night,el trabaja de noche,il travaille la nuit,er arbeitet nachts
153,he works under me,he works under me,él trabaja debajo de mí,il travaille sous moi,er arbeitet unter mir
154,he writes scripts,he writes scripts,el escribe guiones,il écrit des scripts,er schreibt Drehbücher
155,he wrote a letter,he wrote a letter,él escribió una carta,Il a écrit une lettre,Er schrieb einen Brief
156,he'll get over it,he will get over it,él lo superará,il s'en remettra,er wird darüber hinwegkommen
157,he's a big coward,he is a big coward,es un gran cobarde,c'est un grand lâche,Er ist ein großer Feigling
158,he's a journalist,he is a journalist,el es un periodista,il est journaliste,er ist ein Journalist
159,he's a movie buff,he is a movie buff,es un cinéfilo,c'est un cinéphile,er ist ein Filmfan
160,he's already left,he is already left,el ya esta dejado,il est déjà parti,er ist schon weg
161,he's an old timer,he is an old timer,el es un veterano,c'est un ancien,er ist ein alter Hase
162,he's an undergrad,he is an undergrad,el es un estudiante de pregrado,il est étudiant,er ist Student
163,he's deep in debt,he is deep in debt,él está muy endeudado,il est très endetté,er ist hoch verschuldet
164,he's from georgia,he is from georgia,el es de georgia,il vient de géorgie,er kommt aus georgien
165,he's in hot water,he is in hot water,el esta en agua caliente,il est dans l'eau chaude,Er ist in heißem Wasser
166,he's just arrived,he is just arrived,el acaba de llegar,il vient d'arriver,er ist gerade angekommen
167,he's kind of cute,he is kind of cute,el es un poco lindo,il est plutôt mignon,er ist irgendwie süß
168,he's looking good,he is looking good,se ve bien,il a l'air bien,er sieht gut aus
169,he's not here yet,he is not here yet,él no está aquí todavía,il n'est pas encore là,er ist noch nicht da
170,he's old and ugly,he is old and ugly,el es viejo y feo,il est vieux et laid,er ist alt und hässlich
171,he's raking it in,he is raking it in,él lo está rastrillando,il le ratisse,er rafft es auf
172,he's really quick,he is really quick,el es muy rapido,il est vraiment rapide,er ist wirklich schnell
173,he's sound asleep,he is sound asleep,él está profundamente dormido,il dort profondément,er schläft fest
174,he's still single,he is still single,el sigue soltero,il est toujours célibataire,er ist immer noch ledig
175,he's swimming now,he is swimming now,el esta nadando ahora,il nage maintenant,er schwimmt jetzt
176,he's tickled pink,he is tickled pink,le hacen cosquillas rosa,il est chatouillé rose,er ist rosa gekitzelt
177,he's too trusting,he is too trusting,es demasiado confiado,il est trop confiant,er ist zu vertrauensselig
178,he's very curious,he is very curious,el es muy curioso,il est très curieux,er ist sehr neugierig
179,her eyes are blue,her eyes are blue,sus ojos son azules,ses yeux sont bleus,ihre Augen sind blau
180,her eyes darkened,her eyes darkened,sus ojos se oscurecieron,ses yeux se sont assombris,Ihre Augen verdunkelten sich
181,her nails are red,her nails are red,sus uñas son rojas,ses ongles sont rouges,Ihre Nägel sind rot
182,here is your book,here is your book,aquí está tu libro,voici votre livre,Hier ist dein Buch
183,here we are again,here we are again,aquí estamos de nuevo,nous y revoilà,hier sind wir wieder
184,here's an example,here s an example,aquí hay un ejemplo,voici un exemple,Hier ist ein Beispiel
185,here's my receipt,here s my receipt,Aqui esta su recibo,voici votre reçu,Hier ist Ihre Rechnung
186,here's some water,here s some water,aquí hay un poco de agua,voici de l'eau,hier ist etwas Wasser
187,here's the change,here s the change,aquí está el cambio,voici le changement,Hier ist die Änderung
188,here's your drink,here s your drink,aquí está tu bebida,voici votre boisson,Hier ist dein Getränk
189,here's your order,here s your order,aqui esta tu orden,voici votre commande,Hier ist Ihre Bestellung
190,"hey, this is nice",hey  this is nice,oye esto es bueno,hé c'est sympa,hallo das ist schön
191,his car is a ford,his car is a ford,su carro es un ford,sa voiture est une ford,Sein Auto ist ein Ford
192,his eyes are blue,his eyes are blue,sus ojos son azules,ses yeux sont bleus,seine Augen sind blau
193,his room's a mess,his room s a mess,su cuarto es un desastre,sa chambre est en désordre,sein Zimmer ist ein Durcheinander
194,his story is true,his story is true,su historia es verdadera,son histoire est vraie,seine Geschichte ist wahr
195,hold that thought,hold that thought,sostenga ese pensamiento,maintenez cette pensée,behalte diesen Gedanken
196,hold the handrail,hold the handrail,sostenga la barandilla,tenir la main courante,Handlauf halten
197,"honey, i love you",honey  i love you,cariño te amo,chéri je t'aime,Honig Ich liebe dich
198,how about a drink,how about a drink,Qué tal un trago,Un verre vous tente,Wie wäre es mit einem Getränk
199,how about a smoke,how about a smoke,que tal un cigarro,que diriez-vous d'une fumée,wie wäre es mit einer rauche
200,how about a snack,how about a snack,que tal un bocadillo,que diriez-vous d'une collation,wie wäre es mit einem snack
201,how about running,how about running,que tal correr,que diriez-vous de courir,wie wäre es mit laufen
202,how about tonight,how about tonight,que tal esta noche,pourquoi pas ce soir,wie wäre es mit heute Nacht
203,how are you doing,how are you doing,cómo está,Comment allez vous,wie geht es dir
204,how are you going,how are you going,Como vas,comment allez-vous,wie geht es dir
205,how are you today,how are you today,Como estas hoy,Comment vas-tu aujourd'hui,Wie geht es Ihnen heute
206,how can i do that,how can i do that,Cómo puedo hacer eso,Comment puis je faire ça,wie kann ich das machen
207,how can i do this,how can i do this,Cómo puedo hacer esto,Comment puis-je faire ceci,Wie kann ich das machen
208,how can this work,how can this work,¿Cómo puede funcionar esto?,comment cela peut-il fonctionner,wie kann das funktionieren
209,how could this be,how could this be,Cómo podría ser esto,comment cela pourrait-il être,wie konnte das sein
210,how did you do it,how did you do it,Cómo lo hiciste,comment avez-vous fait,wie hast du es gemacht
211,how did you reply,how did you reply,como respondiste,comment as-tu répondu,wie hast du geantwortet
212,how do i eat this,how do i eat this,como como esto,comment puis-je manger ça,wie esse ich das
213,how do we do that,how do we do that,como hacemos eso,Comment fait-on cela,wie machen wir das
214,how do we find it,how do we find it,Cómo lo encontramos,comment le trouve-t-on,wie finden wir es
215,how do we stop it,how do we stop it,Cómo lo detenemos,comment pouvons-nous l'arrêter,wie stoppen wir es
216,how does he do it,how does he do it,Cómo lo hace,Comment fait-il,wie macht er das
217,how far did it go,how far did it go,que tan lejos fue,jusqu'où est-il allé,wie weit ist es gegangen
218,how is it spelled,how is it spelled,como se escribe,comment ça s'écrit,wie wird es geschrieben
219,how long are they,how long are they,cuanto tiempo tienen,combien de temps sont-ils,wie lang sind sie
220,how lucky you are,how lucky you are,Que suertúdo eres,quel chanceux tu es,wie glücklich du bist
221,how should i know,how should i know,Cómo debería saberlo,comment devrais-je savoir,Woher soll ich das wissen
222,how was the beach,how was the beach,como estuvo la playa,comment était la plage,wie war es am Strand
223,how was the movie,how was the movie,como estuvo la pelicula,comment était le film,wie war der Film
224,how was your stay,how was your stay,cómo fue tu estancia,comment s'est passé votre séjour,Wie war dein Aufenthalt
225,how was your test,how was your test,Cómo estuvo tu examen,comment était ton test,wie war deine Prüfung
226,how was your trip,how was your trip,como estuvo tu viaje,comment était votre voyage,Wie war deine Reise
227,how was your walk,how was your walk,como estuvo tu paseo,comment était ta promenade,wie war dein Spaziergang
228,how weird is that,how weird is that,que raro es eso,comme c'est bizarre,wie seltsam ist das
229,how'd it work out,how did it work out,Como resulto,comment ça s'est passé,wie hat es geklappt
230,how'd you find it,how did you find it,Cómo lo encontraste,comment avez-vous trouvé,wie hast du das gefunden
231,how's it look now,how is it look now,como se ve ahora,à quoi ça ressemble maintenant,wie sieht es jetzt aus
232,how's the weather,how is the weather,Como está el clima,comment est la temps,wie ist das Wetter
233,how's your family,how is your family,Cómo está tu familia,comment va votre famille,Wie geht's deiner Familie
234,how's your father,how is your father,Cómo está tu padre,Comment va votre père,Wie geht es deinem Vater
235,how's your mother,how is your mother,Cómo está tu madre,Comment va ta mère,Wie geht es deine Mutter
236,how's your sister,how is your sister,Cómo está tu hermana,Comment va votre sœur,Wie geht's deiner Schwester
237,i accept the risk,i accept the risk,acepto el riesgo,j'accepte le risque,ich akzeptiere das risiko
238,i admit i'm wrong,i admit i am wrong,admito que estoy equivocado,j'avoue que je me trompe,"Ich gebe zu, dass ich falsch liege"
239,i agreed to do it,i agreed to do it,acepté hacerlo,j'ai accepté de le faire,"Ich habe zugestimmt, es zu tun"
240,i agreed with tom,i agreed with tom,estuve de acuerdo con tom,je suis d'accord avec tom,ich stimme tom zu
241,i agreed with her,i agreed with her,estuve de acuerdo con ella,je suis d'accord avec elle,ich stimmte ihr zu
242,i almost shot you,i almost shot you,casi te disparo,j'ai failli te tirer dessus,Ich hätte dich fast erschossen
243,i already said no,i already said no,ya dije que no,j'ai déjà dit non,ich sagte schon nein
244,i also found this,i also found this,también encontré esto,j'ai aussi trouvé ça,das habe ich auch gefunden
245,i also went there,i also went there,yo también fui allí,j'y suis allé aussi,ich war auch dort
246,i am 19 years old,i am 19 years old,tengo 19 años de edad,J'ai 19 ans,ich bin 19 Jahre alt
247,i am a bad person,i am a bad person,yo soy una mala persona,je suis une mauvaise personne,Ich bin ein schlechter Mensch
248,i am a cat person,i am a cat person,soy una persona de gatos,je suis une personne chat,Ich bin ein Katzenmensch
249,i am a vegetarian,i am a vegetarian,soy vegetariano,je suis végétarien,Ich bin Vegetarier
250,i am afraid to go,i am afraid to go,tengo miedo de ir,j'ai peur d'y aller,Ich habe Angst zu gehen
251,i am baking bread,i am baking bread,estoy horneando pan,je fais du pain,Ich backe Brot
252,i am in the house,i am in the house,Estoy en la casa,Je suis dans la maison,Ich bin im Haus
253,i am in your debt,i am in your debt,Estoy en deuda contigo,je suis votre débiteur,Ich stehe in deiner Schuld
254,i am not like you,i am not like you,no soy como tu,je ne suis pas comme toi,Ich bin nicht wie du
255,i am rather happy,i am rather happy,estoy bastante feliz,je suis plutôt content,Ich bin ziemlich glücklich
256,i am so exhausted,i am so exhausted,Estoy tan cansado,je suis tellement épuisé,Ich bin so erschöpft
257,i am studying now,i am studying now,Estoy estudiando ahora,j'étudie maintenant,Ich studiere jetzt
258,i am the same age,i am the same age,tengo la misma edad,j'ai le même âge,ich bin gleich alt
259,i am very curious,i am very curious,soy muy curioso,Je suis très curieux,Ich bin sehr neugierig
260,i am very pleased,i am very pleased,Estoy muy satisfecho,je suis très content,Ich bin sehr erfreut
261,i appreciate that,i appreciate that,Soy consciente de que,j'apprécie ça,Ich weis das zu schätzen
262,i appreciate this,i appreciate this,agradezco esto,j'apprécie cela,Ich schätze das
263,i arrived on time,i arrived on time,Llegué a tiempo,je suis arrivé à l'heure,Ich bin pünktlich angekommen
264,i ate a hamburger,i ate a hamburger,comí una hamburguesa,j'ai mangé un hamburger,Ich habe einen Hamburger gegessen
265,i ate my sandwich,i ate my sandwich,me comí mi sándwich,j'ai mangé mon sandwich,Ich habe mein Sandwich gegessen
266,i baited the hook,i baited the hook,cebé el anzuelo,j'ai appâté l'hameçon,Ich habe den Haken geködert
267,i barely knew tom,i barely knew tom,apenas conocía a tom,je connaissais à peine tom,Ich kannte Tom kaum
268,i barely know you,i barely know you,apenas te conozco,Je vous connais à peine,Ich kenne dich kaum
269,i bathe every day,i bathe every day,me baño todos los dias,je me baigne tous les jours,ich bade jeden tag
270,i beg you to stay,i beg you to stay,te ruego que te quedes,je te prie de rester,ich bitte dich zu bleiben
271,i beg your pardon,i beg your pardon,Le ruego me disculpe,Je vous demande pardon,ich bitte um Verzeihung
272,i believe in fate,i believe in fate,Yo creo en el destino,Je crois au destin,Ich glaube an das Schicksal
273,i bet you're busy,i bet you are busy,apuesto a que estás ocupado,je parie que tu es occupé,"Ich wette, Sie sind beschäftigt"
274,i bid against him,i bid against him,oferto contra el,j'enchéris contre lui,Ich biete gegen ihn
275,i bolted the door,i bolted the door,cerré la puerta,j'ai verrouillé la porte,Ich habe die Tür verriegelt
276,i bought a cactus,i bought a cactus,compré un cactus,j'ai acheté un cactus,Ich habe einen Kaktus gekauft
277,i bought a hybrid,i bought a hybrid,compré un híbrido,j'ai acheté un hybride,Ich habe einen Hybrid gekauft
278,i bought a webcam,i bought a webcam,compré una cámara web,j'ai acheté une webcam,Ich habe eine Webcam gekauft
279,i bought that car,i bought that car,compré ese auto,j'ai acheté cette voiture,Ich habe das Auto gekauft
280,i bought the book,i bought the book,compré el libro,j'ai acheté le livre,Ich habe das Buch gekauft
281,i braked suddenly,i braked suddenly,frené de repente,j'ai freiné d'un coup,Ich bremste plötzlich
282,i broke his heart,i broke his heart,rompí su corazón,je lui ai brisé le coeur,Ich habe ihm das Herz gebrochen
283,i brought a salad,i brought a salad,traje una ensalada,j'ai apporté une salade,Ich habe einen Salat mitgebracht
284,i brought cookies,i brought cookies,traje galletas,j'ai apporté des biscuits,Ich habe Kekse mitgebracht
285,i brushed my hair,i brushed my hair,Me cepillé el cabello,J'ai brossé mes cheveux,Ich kämmte meine Haare
286,i built a shelter,i built a shelter,construí un refugio,j'ai construit un abri,Ich habe einen Unterstand gebaut
287,i burned the cake,i burned the cake,quemé el pastel,j'ai brûlé le gâteau,Ich habe den Kuchen verbrannt
288,i called a doctor,i called a doctor,llamé a un médico,j'ai appelé un médecin,Ich rief einen Arzt an
289,i called for help,i called for help,pedí ayuda,j'ai appelé à l'aide,Ich rief um Hilfe
290,i called security,i called security,llamé a seguridad,j'ai appelé la sécurité,Ich rief den Sicherheitsdienst an
291,i called the cops,i called the cops,llamé a la policía,j'ai appelé les flics,Ich habe die Polizei gerufen
292,i came to see tom,i came to see tom,vine a ver a tom,je suis venu voir tom,"Ich bin gekommen, um Tom zu sehen"
293,i came to see you,i came to see you,vine a verte,Je suis venu te voir,"ich kam, um dich zu sehen"
294,i can comfort her,i can comfort her,puedo consolarla,je peux la consoler,Ich kann sie trösten
295,i can drive a car,i can drive a car,puedo conducir un coche,Je peux conduire une voiture,Ich kann ein Auto fahren
296,i can handle this,i can handle this,yo puedo con esto,je peux gérer ça,ich kann damit umgehen
297,i can hardly swim,i can hardly swim,apenas puedo nadar,je sais à peine nager,Ich kann kaum schwimmen
298,i can hardly walk,i can hardly walk,apenas puedo caminar,je peux à peine marcher,ich kann kaum laufen
299,i can now do that,i can now do that,ahora puedo hacer eso,je peux maintenant le faire,das kann ich jetzt
300,i can play chopin,i can play chopin,puedo jugar chopin,je peux jouer du chopin,Ich kann Chopin spielen
301,i can play tennis,i can play tennis,yo puedo jugar tenis,Je peux jouer au tennis,Ich kann Tennis spielen
302,i can protect you,i can protect you,puedo protegerte,je peux te protéger,Ich kann dich beschützen
303,i can rely on tom,i can rely on tom,puedo confiar en tom,je peux compter sur tom,Ich kann mich auf Tom verlassen
