,English,English_cleaned,Spanish,French,German
40,i'd like to kiss you,i would like to kiss you,me gustaría besarte,je voudrais t'embrasser,Ich möchte dich küssen
41,i'd like to lie down,i would like to lie down,me gustaría acostarme,je voudrais m'allonger,Ich möchte mich hinlegen
42,i'd like to see that,i would like to see that,me gustaria ver eso,J'aimerais voir ça,ich würde das gerne sehen
43,i'd like to try this,i would like to try this,Me gustaría intentar ésto,je voudrais essayer ça,Ich möchte dies versuchen
44,i'd like to watch tv,i would like to watch tv,me gustaría ver la televisión,je voudrais regarder la télé,Ich möchte fernsehen
45,i'd love to meet him,i would love to meet him,Me encantaría conocerlo,j'aimerais le rencontrer,Ich würde ihn gerne treffen
46,i'd rather not do it,i would rather not do it,prefiero no hacerlo,je préfère ne pas le faire,Ich würde es lieber nicht tun
47,i'd say you did well,i would say you did well,diría que lo hiciste bien,je dirais que tu as bien fait,"Ich würde sagen, du hast es gut gemacht"
48,i'll admit i'm wrong,i will admit i am wrong,admitiré que estoy equivocado,j'admettrai que j'ai tort,"Ich gebe zu, dass ich falsch liege"
49,i'll allow you to go,i will allow you to go,te permitiré ir,je te laisserai partir,Ich erlaube dir zu gehen
50,i'll apologize later,i will apologize later,me disculparé más tarde,je m'excuserai plus tard,Ich werde mich später entschuldigen
51,i'll be back tonight,i will be back tonight,volveré esta noche,je serai de retour ce soir,Ich werde heute Abend zurück sein
52,i'll be glad to come,i will be glad to come,estaré encantado de venir,je serai ravi de venir,ich komme gerne
53,i'll be in my office,i will be in my office,estaré en mi oficina,je serai dans mon bureau,Ich werde in meinem Büro sein
54,i'll be in the attic,i will be in the attic,estaré en el ático,je serai dans le grenier,Ich werde auf dem Dachboden sein
55,i'll be in the truck,i will be in the truck,estaré en el camión,je serai dans le camion,Ich werde im LKW sein
56,i'll be there at six,i will be there at six,estaré allí a las seis,je serai là à six heures,Ich werde um sechs da sein
57,i'll be very careful,i will be very careful,seré muy cuidadoso,je serai très prudent,Ich werde sehr vorsichtig sein
58,i'll be watching you,i will be watching you,te estaré viendo,Je vais te regarder,Ich werde dich beobachten
59,i'll be your teacher,i will be your teacher,seré tu maestro,je serai votre professeur,Ich werde dein Lehrer sein
60,i'll become stronger,i will become stronger,me volveré más fuerte,je deviendrai plus fort,ich werde stärker
61,i'll buy the tickets,i will buy the tickets,voy a comprar los boletos,je vais acheter les billets,Ich werde die Tickets kaufen
62,i'll buy you a drink,i will buy you a drink,te compraré un trago,je vais te payer un verre,Ich werde dir einen Drink ausgeben
63,i'll choose this one,i will choose this one,elegiré este,je choisirai celui-ci,ich werde diese wählen
64,i'll come back later,i will come back later,Regresaré más tarde,Je reviendrai plus tard,Ich werde später zurück kommen
65,i'll come by bicycle,i will come by bicycle,vendré en bicicleta,je viendrai en vélo,Ich komme mit dem Fahrrad
66,i'll do that for tom,i will do that for tom,haré eso por tom,je vais faire ça pour tom,Ich werde das für Tom tun
67,i'll do what you ask,i will do what you ask,haré lo que me pidas,je ferai ce que tu demandes,"Ich werde tun, was Sie verlangen"
68,i'll dream about you,i will dream about you,Soñaré contigo,je vais rêver de vous,ich werde von dir träumen
69,i'll eat standing up,i will eat standing up,comeré de pie,je mangerai debout,Ich werde im Stehen essen
70,i'll finish it later,i will finish it later,lo terminaré más tarde,je le finirai plus tard,Ich werde es später beenden
71,i'll get back to you,i will get back to you,Me pondré en contacto con usted,je reviendrais vers vous,ich werde zu Dir zurück kommen
72,i'll get rid of them,i will get rid of them,me desharé de ellos,je vais m'en débarrasser,ich werde sie los
73,i'll get you a towel,i will get you a towel,te traeré una toalla,je vais te chercher une serviette,Ich hole dir ein Handtuch
74,i'll give that a try,i will give that a try,Le voy a dar una oportunidad,je vais essayer,Ich werde das versuchen
75,i'll give you a book,i will give you a book,te daré un libro,je vais te donner un livre,Ich gebe dir ein Buch
76,i'll give you a call,i will give you a call,te llamaré,je te téléphonerai,Ich werde dich anrufen
77,i'll give you a hand,i will give you a hand,te daré una mano,je vais te donner un coup de main,Ich werde dir helfen
78,i'll give you a hint,i will give you a hint,Te dare una pista,je vais te donner un indice,Ich gebe dir einen Hinweis
79,i'll give you a lift,i will give you a lift,Te daré un aventón,je vais vous donner un ascenseur,Ich werde dich mitnehmen
80,i'll give you a ride,i will give you a ride,te daré un paseo,je vais te conduire,Ich werde dich mitnehmen
81,i'll give you a shot,i will give you a shot,te daré una oportunidad,je vais te donner une chance,Ich werde dir eine Chance geben
82,i'll go to the beach,i will go to the beach,iré a la playa,j'irai à la plage,Ich werde an den Strand gehen
83,i'll handle the rest,i will handle the rest,yo me encargo del resto,je m'occuperai du reste,den Rest übernehme ich
84,i'll handle this one,i will handle this one,manejaré este,je vais gérer celui-ci,Ich werde diese behandeln
85,i'll have my revenge,i will have my revenge,Tendré mi venganza,j'aurai ma revanche,Ich werde meine Rache haben
86,i'll keep it in mind,i will keep it in mind,lo recordare,Je le garderai à l'esprit,ich werde es mir merken
87,i'll keep it with me,i will keep it with me,lo guardaré conmigo,je vais le garder avec moi,ich werde es bei mir behalten
88,i'll keep my promise,i will keep my promise,mantendré mi promesa,je tiendrai ma promesse,Ich werde mein Versprechen halten
89,i'll keep you posted,i will keep you posted,Te mantendré informado,Je vous tiendrai au courant,Ich halte dich auf dem laufenden
90,i'll leave tom alone,i will leave tom alone,dejaré a tom en paz,je vais laisser tom tranquille,Ich werde Tom in Ruhe lassen
91,i'll leave you to it,i will leave you to it,te dejare a ti,je vous laisse,ich überlasse es dir
92,i'll let you do that,i will let you do that,te dejaré hacer eso,je te laisse faire ça,ich werde dich das machen lassen
93,i'll live on welfare,i will live on welfare,voy a vivir en el bienestar,je vivrai de l'aide sociale,Ich werde von Sozialhilfe leben
94,i'll make some calls,i will make some calls,voy a hacer algunas llamadas,je passerai quelques appels,Ich werde einige Anrufe tätigen
95,i'll miss this place,i will miss this place,Extrañaré este lugar,cet endroit va me manquer,Ich werde diesen Ort vermissen
96,i'll never come back,i will never come back,nunca volveré,je ne reviendrai jamais,Ich werde nie wiederkommen
97,i'll never leave you,i will never leave you,Nunca te dejaré,Je ne te quitterais jamais,Ich werde dich nie verlassen
98,i'll never lose hope,i will never lose hope,nunca perderé la esperanza,je ne perdrai jamais espoir,Ich werde niemals die Hoffnung verlieren
99,i'll not forget that,i will not forget that,no olvidaré eso,je n'oublierai pas ça,das werde ich nicht vergessen
100,i'll paint the house,i will paint the house,voy a pintar la casa,je vais peindre la maison,Ich werde das Haus streichen
101,i'll phone you later,i will phone you later,te llamaré más tarde,je te téléphonerai plus tard,Ich rufe dich später an
102,i'll prove it to you,i will prove it to you,te lo demostrare,je vais te le prouver,ich werde es dir beweisen
103,i'll see if he is in,i will see if he is in,Voy a ver si está en,je vais voir s'il est dedans,"Ich werde sehen, ob er dabei ist"
104,i'll send you a bill,i will send you a bill,te enviaré una factura,je vous enverrai une facture,Ich schicke Ihnen eine Rechnung
105,i'll spread the word,i will spread the word,voy a correr la voz,je vais passer le mot,Ich werde das Wort verbreiten
106,i'll take a cab home,i will take a cab home,tomaré un taxi a casa,je prendrai un taxi pour rentrer chez moi,Ich nehme ein Taxi nach Hause
107,i'll take care of it,i will take care of it,yo me encargare,j'en prendrai soin,ich werde darauf aufpassen
108,i'll take the stairs,i will take the stairs,tomaré las escaleras,je vais prendre les escaliers,Ich werde die Treppe nehmen
109,i'll take you to tom,i will take you to tom,te llevaré con tom,je vais t'emmener à tom,Ich bringe dich zu Tom
110,i'll try to find one,i will try to find one,voy a tratar de encontrar uno,je vais essayer d'en trouver un,"Ich werde versuchen, einen zu finden"
111,i'll try to help you,i will try to help you,yo tratare de ayudarte,je vais essayer de t'aider,Ich versuche dir zu helfen
112,i'll wait in the car,i will wait in the car,esperaré en el auto,je vais attendre dans la voiture,Ich werde im Auto warten
113,i'll wait in the gym,i will wait in the gym,esperaré en el gimnasio,je vais attendre dans le gymnase,Ich werde in der Turnhalle warten
114,i'll wait up for you,i will wait up for you,esperare por ti,je t'attendrai,Ich werde auf dich warten
115,i'll wash the dishes,i will wash the dishes,voy a lavar los platos,je vais laver la vaisselle,Ich werde das Geschirr spülen
116,i'm a french teacher,i am a french teacher,soy profesora de frances,je suis professeur de français,Ich bin Französischlehrer
117,i'm a windows person,i am a windows person,soy una persona de windows,je suis une personne windows,Ich bin ein Windows-Mensch
118,i'm a little curious,i am a little curious,soy un poco curioso,je suis un peu curieux,Ich bin ein bisschen neugierig
119,i'm a little jealous,i am a little jealous,estoy un poco celoso,je suis un peu jaloux,ich bin ein wenig neidisch
120,i'm a little thirsty,i am a little thirsty,tengo un poco de sed,j'ai un peu soif,Ich bin ein bisschen durstig
121,i'm a natural blonde,i am a natural blonde,soy rubia natural,je suis une blonde naturelle,Ich bin eine natürliche Blondine
122,i'm a serious person,i am a serious person,soy una persona seria,je suis une personne sérieuse,Ich bin eine ernsthafte Person
123,i'm a very lucky man,i am a very lucky man,soy un hombre muy afortunado,je suis un homme très chanceux,Ich bin ein sehr glücklicher Mann
124,i'm afraid of flying,i am afraid of flying,tengo miedo de volar,j'ai peur de voler,Ich habe Angst vor dem Fliegen
125,i'm against the bill,i am against the bill,estoy en contra de la ley,je suis contre le projet de loi,Ich bin gegen die Rechnung
126,i'm all out of ideas,i am all out of ideas,estoy sin ideas,je suis à court d'idées,Mir gehen die Ideen aus
127,i'm allergic to cats,i am allergic to cats,soy alergico a los gatos,je suis allergique aux chats,Ich bin allergisch gegen Katzen
128,i'm allergic to corn,i am allergic to corn,soy alergico al maiz,je suis allergique au maïs,Ich bin allergisch gegen Mais
129,i'm allergic to dogs,i am allergic to dogs,soy alergico a los perros,je suis allergique aux chiens,Ich bin allergisch auf Hunde
130,i'm already a father,i am already a father,ya soy padre,je suis déjà père,Ich bin bereits Vater
131,i'm as tall as he is,i am as tall as he is,soy tan alto como el,je suis aussi grand que lui,Ich bin so groß wie er
132,i'm at your disposal,i am at your disposal,Estoy a tu disposición,Je suis à votre disposition,Ich stehe Ihnen zur Verfügung
133,i'm attracted to him,i am attracted to him,me atrae el,je suis attiré par lui,ich fühle mich zu ihm hingezogen
134,i'm back in business,i am back in business,estoy de vuelta en el negocio,je suis de retour aux affaires,Ich bin wieder im Geschäft
135,i'm calling for help,i am calling for help,estoy pidiendo ayuda,j'appelle à l'aide,Ich rufe um Hilfe
136,i'm calling security,i am calling security,estoy llamando a seguridad,j'appelle la sécurité,Ich rufe Sicherheit
137,i'm calling the cops,i am calling the cops,estoy llamando a la policía,j'appelle les flics,Ich rufe die Polizei
138,i'm checking options,i am checking options,estoy revisando opciones,je vérifie les options,Ich überprüfe Optionen
139,i'm closing the door,i am closing the door,estoy cerrando la puerta,je ferme la porte,Ich schließe die Tür
140,i'm depending on you,i am depending on you,estoy dependiendo de ti,je compte sur toi,ich bin auf dich angewiesen
141,i'm doing the dishes,i am doing the dishes,estoy lavando los platos,Je fais la vaisselle,Ich mache den Abwasch
142,i'm dying for a beer,i am dying for a beer,me muero por una cerveza,je meurs d'envie d'une bière,Ich sterbe für ein Bier
143,i'm dying to see you,i am dying to see you,me muero por verte,je meurs d'envie de te voir,Ich kann nicht warten dich wieder zu sehen
144,i'm expecting a call,i am expecting a call,estoy esperando una llamada,j'attends un appel,Ich erwarte einen Anruf
145,i'm feeling confused,i am feeling confused,me siento confundido,je me sens confus,Ich fühle mich verwirrt
146,i'm feeling fine now,i am feeling fine now,me siento bien ahora,je me sens bien maintenant,Ich fühle mich jetzt gut
147,i'm feeling stressed,i am feeling stressed,me siento estresado,je me sens stressé,Ich fühle mich gestresst
148,i'm fixing something,i am fixing something,estoy arreglando algo,je répare quelque chose,ich repariere etwas
149,i'm folding my dress,i am folding my dress,estoy doblando mi vestido,je plie ma robe,Ich falte mein Kleid
150,i'm from out of town,i am from out of town,soy de fuera de la ciudad,je viens de l'extérieur de la ville,Ich bin von außerhalb der Stadt
151,i'm glad i hired you,i am glad i hired you,me alegro de haberte contratado,je suis content de t'avoir embauché,"Ich bin froh, dass ich Sie engagiert habe"
152,i'm glad i'm not tom,i am glad i am not tom,me alegro de no ser tom,je suis content de ne pas être tom,"Ich bin froh, dass ich nicht Tom bin"
153,i'm glad that's over,i am glad that is over,me alegro de que haya terminado,je suis content que ce soit fini,"Ich bin froh, dass das vorbei ist"
154,i'm glad to meet you,i am glad to meet you,me alegro de conocerte,je suis content de vous rencontrer,"ich freue mich, Sie kennen zu lernen"
155,i'm glad we did that,i am glad we did that,me alegro de haberlo hecho,je suis content que nous ayons fait ça,"Ich bin froh, dass wir das gemacht haben"
156,i'm glad you met tom,i am glad you met tom,me alegro de que hayas conocido a tom,je suis content que tu aies rencontré tom,"Ich bin froh, dass du Tom kennengelernt hast"
157,i'm glad you're here,i am glad you are here,Me alegra que estés aquí,Je suis heureux que vous soyez là,"Ich freue mich, dass Sie hier sind"
158,i'm going to be late,i am going to be late,Voy a llegar tarde,je vais être en retard,Ich werde mich verspäten
159,i'm going to be sick,i am going to be sick,me voy a enfermar,je vais être malade,ich werde krank sein
160,i'm going to bed now,i am going to bed now,me voy a la cama ahora,Je vais me coucher maintenant,Ich gehe jetzt ins Bett
161,i'm going to college,i am going to college,voy a la universidad,je vais au collège,Ich gehe aufs College
162,i'm going to see tom,i am going to see tom,voy a ver a tom,je vais voir tom,Ich werde Tom sehen
163,i'm good at japanese,i am good at japanese,soy bueno en japones,je suis bon en japonais,Ich bin gut in Japanisch
164,i'm happy to be back,i am happy to be back,estoy feliz de estar de vuelta,je suis content d'être de retour,"Ich bin froh, zurück zu sein"
165,i'm happy to be here,i am happy to be here,Estoy feliz de estar aquí,je suis heureux d'être ici,Ich bin froh hier zu sein
166,i'm happy to see you,i am happy to see you,estoy feliz de verte,je suis heureux de vous voir,"Ich bin froh, Sie zu sehen"
167,i'm hardly ever home,i am hardly ever home,casi nunca estoy en casa,je ne suis presque jamais à la maison,ich bin so gut wie nie zu hause
168,i'm having a bad day,i am having a bad day,Estoy teniendo un mal día,je passe une mauvaise journée,Ich habe einen schlechten Tag
169,i'm here as a friend,i am here as a friend,estoy aquí como un amigo,je suis ici en tant qu'ami,Ich bin hier als Freund
170,i'm here every night,i am here every night,estoy aquí todas las noches,je suis ici tous les soirs,Ich bin jede Nacht hier
171,i'm here to help you,i am here to help you,estoy aqui para ayudarte,Je suis ici pour vous aider,"Ich bin hier, um dir zu helfen"
172,i'm here to save you,i am here to save you,estoy aquí para salvarte,je suis ici pour te sauver,"Ich bin hier, um dich zu retten"
173,i'm highly motivated,i am highly motivated,estoy muy motivado,je suis très motivé,ich bin hochmotiviert
174,i'm hitting the road,i am hitting the road,estoy saliendo a la carretera,je prends la route,Ich mache mich auf den Weg
175,i'm in a hurry today,i am in a hurry today,tengo prisa hoy,je suis pressé aujourd'hui,ich habe es heute eilig
176,i'm in love with her,i am in love with her,estoy enamorado de ella,je suis amoureux d'elle,Ich liebe sie
177,i'm in love with you,i am in love with you,estoy enamorado de ti,je suis amoureux de toi,ich liebe dich
178,i'm in my hotel room,i am in my hotel room,estoy en mi habitación de hotel,je suis dans ma chambre d'hôtel,Ich bin in meinem Hotelzimmer
179,i'm in the same boat,i am in the same boat,Estoy en el mismo barco,je suis dans le même bateau,Ich bin im selben Boot
180,i'm incredibly tired,i am incredibly tired,estoy increíblemente cansado,je suis incroyablement fatigué,Ich bin unglaublich müde
181,i'm just another man,i am just another man,solo soy otro hombre,je ne suis qu'un autre homme,Ich bin nur ein anderer Mann
182,i'm just helping out,i am just helping out,solo estoy ayudando,je viens d'aider,ich helfe nur aus
183,i'm just watching tv,i am just watching tv,solo estoy viendo la tele,je regarde juste la télé,ich schaue nur fernsehen
184,i'm kind of confused,i am kind of confused,estoy un poco confundido,je suis un peu confus,ich bin irgendwie verwirrt
185,i'm learning english,i am learning english,estoy aprendiendo inglés,j'apprends l'anglais,Ich lerne Englisch
186,i'm leaving tomorrow,i am leaving tomorrow,Me voy mañana,Je pars demain,Ich fahre morgen ab
187,i'm listening to you,i am listening to you,te estoy escuchando,je t'écoute,ich höre Dir zu
188,i'm living in boston,i am living in boston,estoy viviendo en boston,je vis à boston,Ich lebe in Boston
189,i'm looking for work,i am looking for work,estoy buscando trabajo,je cherche du travail,Ich suche Arbeit
190,i'm making a snowman,i am making a snowman,estoy haciendo un muñeco de nieve,je fais un bonhomme de neige,Ich baue einen Schneemann
191,i'm near the station,i am near the station,estoy cerca de la estación,je suis près de la gare,Ich bin in der Nähe des Bahnhofs
192,i'm never in a hurry,i am never in a hurry,nunca tengo prisa,je ne suis jamais pressé,ich habe es nie eilig
193,i'm no longer groggy,i am no longer groggy,ya no estoy mareado,je ne suis plus groggy,ich bin nicht mehr benommen
194,i'm no longer hungry,i am no longer hungry,ya no tengo hambre,je n'ai plus faim,Ich habe keinen Hunger mehr
195,i'm no longer sleepy,i am no longer sleepy,ya no tengo sueño,je n'ai plus sommeil,ich bin nicht mehr schläfrig
196,i'm no match for tom,i am no match for tom,no soy rival para tom,je ne suis pas à la hauteur de tom,Ich bin Tom nicht gewachsen
197,i'm no match for you,i am no match for you,no soy rival para ti,je ne suis pas à la hauteur de toi,Ich bin dir nicht gewachsen
198,i'm no use to anyone,i am no use to anyone,no sirvo para nadie,je ne suis utile à personne,Ich bin niemandem von Nutzen
199,i'm not a cat person,i am not a cat person,no soy una persona de gatos,je ne suis pas une personne à chat,ich bin kein katzenmensch
200,i'm not a good actor,i am not a good actor,no soy un buen actor,je ne suis pas un bon acteur,Ich bin kein guter Schauspieler
201,i'm not a specialist,i am not a specialist,no soy un especialista,je ne suis pas un spécialiste,Ich bin kein Spezialist
202,i'm not a vegetarian,i am not a vegetarian,No soy vegetariano,je ne suis pas végétarien,Ich bin kein Vegetarier
203,i'm not an alcoholic,i am not an alcoholic,no soy alcohólico,je ne suis pas alcoolique,Ich bin kein Alkoholiker
204,i'm not as happy now,i am not as happy now,no soy tan feliz ahora,je ne suis pas aussi heureux maintenant,Ich bin jetzt nicht so glücklich
205,i'm not at all tired,i am not at all tired,no estoy nada cansado,je ne suis pas du tout fatigué,Ich bin überhaupt nicht müde
206,i'm not avoiding you,i am not avoiding you,no te estoy evitando,je ne t'évite pas,ich meide dich nicht
207,i'm not busy anymore,i am not busy anymore,ya no estoy ocupado,je ne suis plus occupé,Ich bin nicht mehr beschäftigt
208,i'm not denying that,i am not denying that,no estoy negando eso,je ne le nie pas,das bestreite ich nicht
209,i'm not disorganized,i am not disorganized,no soy desorganizado,je ne suis pas désorganisé,Ich bin nicht desorganisiert
210,i'm not exactly sure,i am not exactly sure,no estoy exactamente seguro,je ne suis pas exactement sûr,ich bin mir nicht ganz sicher
211,i'm not feeling well,i am not feeling well,no me estoy sintiendo bien,je ne me sens pas bien,ich fühle mich nicht gut
212,i'm not finished yet,i am not finished yet,aún no he terminado,je n'ai pas encore fini,ich bin noch nicht fertig
213,i'm not going to die,i am not going to die,no voy a morir,je ne vais pas mourir,ich werde nicht sterben
214,i'm not going to lie,i am not going to lie,No voy a mentir,je ne vais pas mentir,Ich werde nicht lügen
215,i'm not good at math,i am not good at math,no soy bueno en matematicas,je ne suis pas bon en maths,Ich bin nicht gut in Mathe
216,i'm not good at this,i am not good at this,no soy bueno en esto,je ne suis pas doué pour ça,Ich bin nicht gut darin
217,i'm not good-looking,i am not good looking,no soy guapo,je ne suis pas beau,Ich sehe nicht gut aus
218,i'm not here for you,i am not here for you,no estoy aquí para ti,je ne suis pas là pour toi,Ich bin nicht für dich da
219,i'm not ignoring you,i am not ignoring you,no te estoy ignorando,je ne t'ignore pas,ich ignoriere dich nicht
220,i'm not making it up,i am not making it up,no lo estoy inventando,je ne l'invente pas,ich erfinde es nicht
221,i'm not marrying you,i am not marrying you,no me caso contigo,je ne t'épouse pas,Ich heirate dich nicht
222,i'm not quitting now,i am not quitting now,no voy a renunciar ahora,je n'abandonne pas maintenant,Ich höre jetzt nicht auf
223,i'm not ready to die,i am not ready to die,no estoy listo para morir,je ne suis pas prêt à mourir,Ich bin nicht bereit zu sterben
224,i'm not really angry,i am not really angry,no estoy realmente enojado,je ne suis pas vraiment en colère,ich bin nicht wirklich sauer
225,i'm not running away,i am not running away,no estoy huyendo,je ne fuis pas,Ich laufe nicht weg
226,i'm not safe in here,i am not safe in here,no estoy seguro aquí,je ne suis pas en sécurité ici,Ich bin hier drin nicht sicher
227,i'm not sitting here,i am not sitting here,no estoy sentado aquí,je ne suis pas assis ici,Ich sitze hier nicht
228,i'm not so confident,i am not so confident,no estoy tan seguro,je ne suis pas si confiant,Ich bin nicht so zuversichtlich
229,i'm not so convinced,i am not so convinced,no estoy tan convencido,je ne suis pas si convaincu,ich bin nicht so überzeugt
230,i'm not staying here,i am not staying here,no me quedo aquí,je ne reste pas ici,Ich bleibe nicht hier
231,i'm not stopping you,i am not stopping you,no te estoy deteniendo,je ne t'arrête pas,Ich halte dich nicht auf
232,i'm not sure i agree,i am not sure i agree,no estoy seguro de estar de acuerdo,je ne suis pas sûr d'être d'accord,"Ich bin nicht sicher, ob ich einverstanden bin"
233,i'm not sure anymore,i am not sure anymore,ya no estoy seguro,je ne suis plus sûr,ich bin mir nicht mehr sicher
234,i'm not taking sides,i am not taking sides,no estoy tomando partido,je ne prends pas parti,Ich ergreife keine Partei
235,i'm not that cynical,i am not that cynical,no soy tan cínico,je ne suis pas si cynique,Ich bin nicht so zynisch
236,i'm not that worried,i am not that worried,no estoy tan preocupado,je ne suis pas si inquiet,ich bin nicht so besorgt
237,i'm not tired at all,i am not tired at all,no estoy cansado en absoluto,je ne suis pas fatigué du tout,Ich bin überhaupt nicht müde
238,i'm not turning back,i am not turning back,no voy a dar marcha atrás,je ne me retourne pas,ich kehre nicht um
239,i'm not very patient,i am not very patient,no soy muy paciente,je ne suis pas très patient,Ich bin nicht sehr geduldig
240,i'm not wearing this,i am not wearing this,no estoy usando esto,je ne porte pas ça,ich trage das nicht
241,i'm not your brother,i am not your brother,no soy tu hermano,je ne suis pas ton frère,Ich bin nicht dein Bruder
242,i'm not your servant,i am not your servant,no soy tu sirviente,je ne suis pas votre serviteur,Ich bin nicht dein Diener
243,i'm not your teacher,i am not your teacher,no soy tu maestro,je ne suis pas ton professeur,Ich bin nicht dein Lehrer
244,i'm nothing like you,i am nothing like you,no soy nada como tu,je ne suis rien comme toi,Ich bin nicht wie du
245,i'm often in trouble,i am often in trouble,a menudo estoy en problemas,je suis souvent en difficulté,Ich bin oft in Schwierigkeiten
246,i'm on the wrong bus,i am on the wrong bus,estoy en el autobús equivocado,je suis dans le mauvais bus,Ich bin im falschen Bus
247,i'm pressing charges,i am pressing charges,estoy presentando cargos,je porte plainte,Ich erstatte Anzeige
248,i'm pretty busy here,i am pretty busy here,estoy bastante ocupado aqui,je suis assez occupé ici,Ich bin hier ziemlich beschäftigt
249,i'm proud of my work,i am proud of my work,estoy orgulloso de mi trabajo,je suis fier de mon travail,Ich bin stolz auf meine Arbeit
250,i'm proud of you all,i am proud of you all,estoy orgulloso de todos ustedes,je suis fier de vous tous,Ich bin stolz auf euch alle
251,i'm putting boots on,i am putting boots on,me estoy poniendo las botas,je mets des bottes,Ich ziehe Stiefel an
252,i'm reading a letter,i am reading a letter,estoy leyendo una carta,je lis une lettre,Ich lese einen Brief
253,i'm ready if you are,i am ready if you are,estoy listo si tu lo estas,je suis prêt si tu l'es,"Ich bin bereit, wenn du es bist"
