,English,English_cleaned,Spanish,French,German
54,we needed it,we needed it,lo necesitábamos,nous en avions besoin,wir brauchten es
55,we overslept,we overslept,nos quedamos dormidos,nous avons trop dormi,wir haben verschlafen
56,we sat there,we sat there,nos sentamos allí,nous nous sommes assis là,wir saßen da
57,we should go,we should go,deberíamos ir,nous devrions aller,wir sollten gehen
58,we succeeded,we succeeded,Tuvimos éxito,nous avons réussi,wir hatten Erfolg
59,we surrender,we surrender,nos rendimos,nous nous rendons,wir geben auf
60,we trust him,we trust him,confiamos en el,on lui fait confiance,wir vertrauen ihm
61,we want jobs,we want jobs,queremos trabajos,nous voulons des emplois,wir wollen arbeitsplätze
62,we were busy,we were busy,estábamos ocupados,nous étions occupés,wir waren beschäftigt
63,we'll attack,we will attack,vamos a atacar,nous allons attaquer,wir werden angreifen
64,we'll attend,we will attend,Nosotros asistiremos,nous assisterons,wir werden teilnehmen
65,we'll decide,we will decide,nosotros decidiremos,nous déciderons,Wir werden entscheiden
66,we'll follow,we will follow,seguiremos,nous suivrons,wir werden folgen
67,we'll manage,we will manage,nos las arreglaremos,nous allons gérer,das bekommen wir schon hin
68,we'll starve,we will starve,nos moriremos de hambre,nous allons mourir de faim,wir werden verhungern
69,we're a team,we are a team,somos un equipo,Nous sommes une équipe,wir sind ein Team
70,we're adults,we are adults,Somos adultos,nous sommes adultes,wir sind Erwachsene
71,we're all ok,we are all ok,todos estamos bien,nous allons tous bien,wir sind alle in Ordnung
72,we're at war,we are at war,estamos en guerra,nous sommes en guerre,Wir sind im Krieg
73,we're biased,we are biased,somos parciales,nous sommes biaisés,wir sind voreingenommen
74,we're buying,we are buying,Estamos comprando,nous achetons,wir kaufen
75,we're closed,we are closed,estamos cerrados,nous sommes fermés,Wir haben geschlossen
76,we're coming,we are coming,estamos llegando,on arrive,wir kommen
77,we're dating,we are dating,estamos saliendo,nous sortons ensemble,wir Daten uns
78,we're doomed,we are doomed,estamos condenados,nous sommes condamnés,wir sind verloren
79,we're hiding,we are hiding,nos estamos escondiendo,nous nous cachons,wir verstecken uns
80,we're inside,we are inside,estamos dentro,nous sommes à l'intérieur,wir sind drinnen
81,we're joking,we are joking,estamos bromeando,nous plaisantons,wir scherzen
82,we're losing,we are losing,estamos perdiendo,nous perdons,wir verlieren
83,we're moving,we are moving,nos estamos moviendo,on déménage,wir ziehen um
84,we're normal,we are normal,somos normales,nous sommes normaux,wir sind normal
85,we're paying,we are paying,estamos pagando,nous payons,wir zahlen
86,we're pooped,we are pooped,estamos cagados,nous sommes caca,wir sind kaputt
87,we're ruined,we are ruined,estamos arruinados,nous sommes ruinés,wir sind ruiniert
88,we're shaken,we are shaken,estamos sacudidos,nous sommes secoués,wir sind erschüttert
89,we're sneaky,we are sneaky,somos astutos,nous sommes sournois,wir sind hinterhältig
90,we're strong,we are strong,somos fuertes,nous sommes forts,wir sind stark
91,we're trying,we are trying,estamos intentando,nous essayons,wir versuchen es
92,welcome back,welcome back,bienvenido de nuevo,content de te revoir,Willkommen zurück
93,welcome home,welcome home,Bienvenido a casa,Bienvenue à la maison,Willkommen zuhause
94,what a loser,what a loser,Que perdedor,quel perdant,was für ein Verlierer
95,what a nerve,what a nerve,que valor,quel culot,Was für ein Nerv
96,what a night,what a night,qué noche,quelle nuit,was für eine Nacht
97,what a phony,what a phony,que falso,quel faux,Was für ein Schwindel
98,what a shame,what a shame,Qué vergüenza,C'est dommage,Schade
99,what a shock,what a shock,Qué shock,Quel choc,Was für ein Schock
100,what a waste,what a waste,que desperdicio,quel gâchis,was für eine Verschwendung
101,what a woman,what a woman,qué mujer,Quelle femme,was für eine Frau
102,what an idea,what an idea,qué idea,quelle idée,was für eine Idee
103,what is love,what is love,Que es el amor,Qu'est-ce que l'amour,was ist Liebe
104,what is that,what is that,¿qué es eso?,qu'est-ce que c'est,Was ist das
105,what is this,what is this,¿qué es esto?,qu'est-ce que c'est,was ist das
106,what's wrong,what is wrong,qué está mal,Qu'est-ce qui ne va pas,Was ist falsch
107,where is tom,where is tom,Dónde está Tom,où est Tom,Wo ist Tom
108,who are they,who are they,Quiénes son,qui sont-ils,Wer sind Sie
109,who broke it,who broke it,quien lo rompio,qui l'a cassé,wer hat es kaputt gemacht
110,who built it,who built it,quien lo construyó,qui l'a construit,Wer hat es gebaut
111,who did that,who did that,Quien hizo eso,qui a fait ça,Wer war das
112,who did this,who did this,quien hizo esto,Qui a fait cela,Wer hat das gemacht
113,who has come,who has come,quien ha venido,qui est venu,wer ist gekommen
114,who is there,who is there,Quién está ahí,Qui est là,Wer ist da
115,who sent you,who sent you,quien te envio,qui t'a envoyé,Wer hat dich geschickt
116,who told you,who told you,quien te lo dijo,qui te l'a dit,wer hat Ihnen gesagt
117,who vanished,who vanished,quien desapareció,qui a disparu,der verschwunden ist
118,who wants it,who wants it,Quien lo quiere,qui le veut,Wer will es
119,who was here,who was here,quien estuvo aqui,qui était ici,wer war hier
120,who was that,who was that,Quien era ese,qui était-ce,Wer war das
121,who will pay,who will pay,Quien pagará,qui paiera,Wer wird bezahlen
122,who will win,who will win,quién va a ganar,qui va gagner,Wer wird gewinnen
123,who's coming,who is coming,quien viene,qui vient,Wer kommt
124,who's hungry,who is hungry,quien tiene hambre,qui a faim,Wer ist hungrig
125,why not both,why not both,por qué no los dos,pourquoi pas les deux,warum nicht beide
126,will he live,will he live,vivirá,vivra-t-il,wird er leben
127,wish me luck,wish me luck,Deséame suerte,souhaite moi bonne chance,wünsch mir Glück
128,won't you go,will not you go,¿no te irás?,n'irez-vous pas,wirst du nicht gehen
129,write in ink,write in ink,escribir con tinta,écrire à l'encre,mit Tinte schreiben
130,write to tom,write to tom,escribir a tom,écrire à tom,schreib tom
131,years passed,years passed,años pasados,les années ont passé,Jahre vergingen
132,you amuse me,you amuse me,me diviertes,vous m'amusez,du amüsierst mich
133,you are good,you are good,eres bueno,tu es bon,du bist gut
134,you are late,you are late,llegas tarde,tu es en retard,du bist spät
135,you are rich,you are rich,tu eres rico,tu es riche,du bist reich
136,you can come,you can come,puedes venir,tu peux venir,du kannst kommen
137,you can help,you can help,puedes ayudar,tu peux aider,du kannst helfen
138,you can rest,you can rest,Puedes descansar,vous pouvez vous reposer,du kannst dich ausruhen
139,you did that,you did that,tu hiciste eso,Tu as fait ça,das hast du gemacht
140,you did this,you did this,Tu hiciste esto,vous l'avez fait,du hast das getan
141,you go first,you go first,vas primero,tu y vas en premier,Du gehst zuerst
142,you hurt him,you hurt him,lo lastimaste,tu lui as fait du mal,du hast ihn verletzt
143,you look fat,you look fat,te ves gordo,tu as l'air gros,du siehst fett aus
144,you may swim,you may swim,puedes nadar,tu peux nager,du darfst schwimmen
145,you must run,you must run,debes correr,vous devez courir,Du musst rennen
146,you promised,you promised,prometiste,tu as promis,Du hast es versprochen
147,you scare me,you scare me,me asustas,Tu me fais peur,Sie erschrecken mich
148,you were shy,you were shy,eras tímido,tu étais timide,du warst schüchtern
149,you will die,you will die,morirás,tu vas mourir,Du wirst sterben
150,you'll be ok,you will be ok,estarás bien,tu iras bien,Du wirst okay sein
151,you're a pig,you are a pig,eres un cerdo,vous êtes un cochon,Sie sind ein Schwein
152,you're bossy,you are bossy,eres mandón,tu es autoritaire,du bist herrisch
153,you're crazy,you are crazy,estás loco,tu es fou,Sie sind verrückt
154,you're cruel,you are cruel,eres cruel,Tu es cruel,Du bist grausam
155,you're dirty,you are dirty,estás sucio,tu es sale,du bist dreckig
156,you're drunk,you are drunk,estás borracho,tu es bourré,du bist betrunken
157,you're early,you are early,llegaste temprano,vous êtes en avance,Du bist früh
158,you're fired,you are fired,estas despedido,tu es viré,du bist gefeuert
159,you're first,you are first,Eres el primero,Tu es premier,du bist der erste
160,you're funny,you are funny,eres Graciosa,vous êtes drôle,du bist lustig
161,you're fussy,you are fussy,eres quisquilloso,tu es difficile,du bist pingelig
162,you're gross,you are gross,eres asqueroso,Tu es dégoûtant,du bist ekelhaft
163,you're lying,you are lying,usted está mintiendo,tu mens,du lügst
164,you're moody,you are moody,estas de mal humor,tu es de mauvaise humeur,du bist launisch
165,you're naive,you are naive,eres ingenuo,tu es naïf,Du bist naiv
166,you're quiet,you are quiet,eres tranquilo,tu es calme,du bist still
167,you're right,you are right,tienes razón,vous avez raison,Sie haben Recht
168,you're silly,you are silly,usted es tonto,tu es idiot,du bist verrückt
169,you're smart,you are smart,eres inteligente,Tu es intelligent,du bist schlau
170,you're stuck,you are stuck,Estás atascado,tu es coincé,Du steckst fest
171,you're tired,you are tired,usted está cansado,tu es fatigué,du bist müde
172,you're tough,you are tough,Eres duro,tu es dur,du bist hart
173,you're upset,you are upset,usted está molesto,tu es énervé,du bist verärgert
174,you're weird,you are weird,eres raro,Tu es étrange,du bist komisch
175,you're wrong,you are wrong,Está usted equivocado,Vous avez tort,Sie liegen falsch
176,you're young,you are young,eres joven,tu es jeune,du bist jung
177,you've tried,you have tried,lo has intentado,Vous avez essayé,Du hast es versucht
178,a car hit tom,a car hit tom,un auto atropelló a tom,une voiture a heurté tom,ein Auto hat Tom angefahren
179,a car went by,a car went by,pasó un coche,une voiture est passée,ein Auto fuhr vorbei
180,ain't he cute,as not he cute,como no es lindo,comme pas il est mignon,wie nicht er süß
181,air the futon,air the futon,ventilar el futon,aérer le futon,Lüften Sie den Futon
182,am i approved,am i approved,¿Estoy aprobado?,suis-je approuvé,bin ich zugelassen
183,am i dreaming,am i dreaming,estoy soñando,Est-ce que je suis en train de rêver,Träume ich
184,am i included,am i included,¿Estoy incluido?,suis-je inclus,bin ich dabei
185,am i mistaken,am i mistaken,estoy equivocado,est-ce que je me trompe,irre ich mich
186,am i talented,am i talented,soy talentoso,suis-je doué,bin ich talentiert
187,any questions,any questions,alguna pregunta,des questions,irgendwelche Fragen
188,anything else,anything else,Algo más,rien d'autre,noch etwas
189,are they busy,are they busy,¿Están ocupados?,sont-ils occupés,sind sie beschäftigt
190,are they cops,are they cops,¿Son policías?,sont-ils des flics,sind sie polizisten
191,are they dead,are they dead,¿Están muertos?,sont-ils morts,sind sie tot
192,are they tall,are they tall,son altos,Sont-ils grands,sind sie groß
193,are you a cop,are you a cop,¿Eres un policía?,es-tu un flic,bist du ein polizist
194,are you alone,are you alone,Estás sola,vous êtes seul,bist du allein
195,are you angry,are you angry,estás enojado,es-tu fâché,bist du wütend
196,are you awake,are you awake,Estás despierto,Es-tu réveillé,bist du wach
197,are you blind,are you blind,estás ciego,es-tu aveugle,bist du blind
198,are you bored,are you bored,estas aburrido,Vous ennuyez-vous,bist du gelangweilt
199,are you crazy,are you crazy,estas loco,êtes-vous fou,bist du verrückt
200,are you happy,are you happy,estás feliz,êtes-vous heureux,sind Sie glücklich
201,are you ready,are you ready,Estás listo,Es-tu prêt,bist du bereit
202,are you there,are you there,estás ahí,es-tu là,Sind Sie da
203,are you tired,are you tired,Estás cansado,êtes-vous fatigué,Bist du müde
204,are you upset,are you upset,estas molesto,Es-tu vexé,bist du sauer
205,are you young,are you young,eres joven,es tu jeune,bist du jung
206,ask any woman,ask any woman,pregúntale a cualquier mujer,demande à n'importe quelle femme,fragen Sie irgendeine Frau
207,be a good boy,be a good boy,Sé un buen chico,être un bon garçon,sei ein guter Junge
208,be reasonable,be reasonable,sé razonable,être raisonnable,sei vernünftig
209,be respectful,be respectful,se respetuoso,être respectueux,sei höflich
210,"beat it, kids","beat it, kids","supérenlo, niños","battez-vous, les enfants","Schlagt zu, Kinder"
211,beat the eggs,beat the eggs,batir los huevos,battre les oeufs,schlagen Sie die Eier
212,beware of dog,beware of dog,cuidado con el perro,attention au chien,Vorsicht vor Hund
213,break it down,break it down,descomponerlo,décomposer,zerlege es
214,bring a lunch,bring a lunch,traer un almuerzo,apporter un déjeuner,Mittagessen mitbringen
215,bring it here,bring it here,tráelo aquí,apportez-le ici,Bring es her
216,bring the key,bring the key,trae la llave,apporter la clé,Schlüssel bringen
217,burn the body,burn the body,quemar el cuerpo,brûler le corps,den Körper verbrennen
218,call a doctor,call a doctor,llame a un médico,Appelez un docteur,Rufen Sie einen Arzt an
219,call security,call security,llamar a seguridad,sécurité des appels,Sicherheit anrufen
220,call the cops,call the cops,llamar a la policía,appeler les flics,Ruf die Polizei
221,can i ask who,can i ask who,¿Puedo preguntar a quién?,puis-je demander qui,darf ich fragen wer
222,can i ask why,can i ask why,puedo preguntar por que,Puis-je demander pourquoi,Darf ich fragen warum
223,can i come in,can i come in,Puedo entrar,puis-je entrer,kann ich reinkommen
224,"can i go, too","can i go, too",puedo ir también,puis-je y aller aussi,Kann ich auch gehen
225,can he see me,can he see me,¿Puede él verme?,peut-il me voir,kann er mich sehen
226,can he see us,can he see us,puede vernos,peut-il nous voir,kann er uns sehen
227,can you do it,can you do it,puedes hacerlo,pouvez-vous le faire,Kannst du es machen
228,can you drive,can you drive,Puedes conducir,peux tu conduire,können Sie fahren
229,can you pitch,can you pitch,puedes lanzar,pouvez-vous pitcher,kannst du aufschlagen
230,can you skate,can you skate,puedes patinar,peux-tu patiner,kannst du skaten
231,cats are cute,cats are cute,Los gatos son lindos,les chats sont mignons,Katzen sind süß
232,"check, please","check, please","Comprueba, por favor","Vérifiez, s'il vous plaît",Bitte überprüfen
233,clean that up,clean that up,limpia eso,nettoie ça,mach das sauber
234,close the box,close the box,cierra la caja,fermer la boite,schließen Sie die Kiste
235,come right in,come right in,entra bien,entrer directement,komm gleich rein
236,cook the rice,cook the rice,cocinar el arroz,cuire le riz,Reis kochen
237,could i do it,could i do it,¿podría hacerlo?,pourrais-je le faire,könnte ich es tun
238,could we walk,could we walk,¿podríamos caminar?,pourrions-nous marcher,könnten wir laufen
239,crime is down,crime is down,el crimen ha bajado,la criminalité est en baisse,Die Kriminalität ist gesunken
240,dance with me,dance with me,bailar conmigo,danse avec moi,Tanz mit mir
241,did i ask you,did i ask you,te pregunte,Est-ce que je t'ai demandé,Hab ich dich gefragt
242,did i blow it,did i blow it,¿Lo arruiné?,est-ce que je l'ai soufflé,habe ich es vermasselt
243,did i do that,did i do that,hice yo eso,ai-je fait cela,habe ich das getan
244,did tom drown,did tom drown,Tom se ahogó,est-ce que Tom s'est noyé,ist tom ertrunken
245,did tom fight,did tom fight,tom peleó,est-ce que tom s'est battu,hat Tom gekämpft
246,did that work,did that work,hizo ese trabajo,ça a marché,hat es funktioniert
247,did you do it,did you do it,lo has hecho,l'AS-tu fait,Hast du es getan
248,do i know tom,do i know tom,¿Conozco a Tom?,est-ce que je connais tom,kenne ich tom
249,do i know him,do i know him,Lo conozco,Est-ce que je le connais,kenne ich ihn
250,do i know you,do i know you,te conozco,je vous connais,Kenne ich dich
251,do i look fat,do i look fat,Me veo gorda,est-ce que j'ai l'air gros,sehe ich fett aus
252,do i look old,do i look old,¿Parezco viejo?,est-ce que j'ai l'air vieux,sehe ich alt aus
253,do cats dream,do cats dream,los gatos sueñan,les chats rêvent-ils,träumen katzen
254,do fish sleep,do fish sleep,los peces duermen,est-ce que les poissons dorment,Fische schlafen
255,do it at once,do it at once,hazlo de una vez,fais le tout de suite,mach es gleich
256,do it quickly,do it quickly,hazlo rápido,fais le rapidement,mach es schnell
257,do me a favor,do me a favor,Hazme un favor,fais moi une faveur,tu mir einen Gefallen
258,do what i say,do what i say,Haz lo que digo,fait ce que je dis,Mach was ich sage
259,do you follow,do you follow,sigues,suivez-vous,folgst du
260,do you gamble,do you gamble,¿apuestas?,est-ce que tu joues,Spielst du
261,do you get it,do you get it,lo entiendes,Tu as compris,verstehst du es
262,do you see it,do you see it,lo ves,Est-ce que tu le vois,siehst du es
263,do you see me,do you see me,Me ves,est-ce que tu me vois,siehst du mich
264,dogs can swim,dogs can swim,los perros pueden nadar,les chiens savent nager,Hunde können schwimmen
265,don't be late,do not be late,no llegues tarde,ne sois pas en retard,sei nicht zuspät
266,don't be long,do not be long,no pertenece,n'appartient pas,nicht gehören
267,don't be mean,do not be mean,No seas malo,ne soit pas cruelle,sei nicht so gemein
268,don't be rude,do not be rude,no seas grosero,ne soyez pas grossier,sei nicht frech
269,don't call me,do not call me,no me llames,ne m'appelle pas,Ruf mich nicht an
270,don't deny it,do not deny it,No lo niegues,ne le nie pas,streite es nicht ab
271,don't despair,do not despair,No se desesperen,ne désespérez pas,nicht verzweifeln
272,don't do that,do not do that,no hagas eso,ne faites pas cela,TU das nicht
273,don't do this,do not do this,no hagas esto,Ne faites pas cela,mach das nicht
274,don't get fat,do not get fat,no engordes,ne grossis pas,nicht fett werden
275,don't give up,do not give up,no te rindas,n'abandonne pas,Gib nicht auf
276,don't hang up,do not hang up,no cuelgues,ne raccrochez pas,Leg nicht auf
277,don't hurt me,do not hurt me,No me lastimes,ne me faites pas de mal,TU mir nicht weh
278,don't kill me,do not kill me,no me mates,ne me tuez pas,töte mich nicht
279,don't mock me,do not mock me,no te burles de mi,ne te moques pas de moi,verspotte mich nicht
280,don't push it,do not push it,no lo empujes,n'insiste pas,drücke es nicht
281,don't push me,do not push me,no me empujes,Ne me poussez pas,Schubs mich nicht
282,don't sass me,do not sass me,no me insultes,ne m'engueule pas,ärgere mich nicht
283,don't tell me,do not tell me,no me digas,ne me dites pas,Erzähl es mir nicht
284,don't wait up,do not wait up,no esperes despierto,n'attendez pas,warte nicht
285,draw a circle,draw a circle,dibuja un circulo,tracer un cercle,zeichne einen Kreis
286,drink it down,drink it down,bebelo,bois le,trink es runter
287,drop your gun,drop your gun,suelta tu arma,lâche ton arme,lass deine Waffe fallen
288,dry your eyes,dry your eyes,seca tus ojos,sèches tes yeux,trockne deine Augen
289,eat and drink,eat and drink,comer y beber,manger et boire,Essen und Trinken
290,eat something,eat something,come algo,manger quelque chose,Iss etwas
291,eat your peas,eat your peas,come tus guisantes,mange tes pois,Iss deine Erbsen
292,even tom lied,even tom lied,incluso tom mintió,même tom a menti,Sogar Tom hat gelogen
293,everyone dies,everyone dies,todos mueren,tout le monde meurt,jeder stirbt
294,everyone sang,everyone sang,todos cantaron,tout le monde a chanté,alle sangen
295,everyone wins,everyone wins,todos ganan,tout le monde gagne,jeder gewinnt
296,feed the bird,feed the bird,Alimenta al pájaro,nourrir l'oiseau,füttere den Vogel
297,get a haircut,get a haircut,Cortate el pelo,avoir une coupe de cheveux,einen Haarschnitt bekommen
298,get back here,get back here,regresa aquí,reviens ici,Komm hierher zurück
299,get off of me,get off of me,Aléjate de mí,lâche moi,geh von mir runter
300,get some rest,get some rest,descansar un poco,reposez-vous,Ruh dich ein wenig aus
301,get your coat,get your coat,consigue tu abrigo,prends ton manteau,nimm deinen Mantel
302,get your gear,get your gear,consigue tu equipo,obtenez votre équipement,Holen Sie sich Ihre Ausrüstung
303,give him time,give him time,dale tiempo,laisse lui le temps,gib ihm zeit
304,give it to me,give it to me,dámelo,donne le moi,Gib es mir
305,give me a few,give me a few,Dame un poco,donne moi quelques,Gib mir ein paar
306,give me a hug,give me a hug,Dame un abrazo,fais moi un câlin,umarme mich
307,give me a sec,give me a sec,Dame un segundo,donne moi une seconde,gib mir eine Sekunde
308,god bless you,god bless you,Dios te bendiga,Dieu te bénisse,Gott segne dich
309,god knows why,god knows why,Dios sabe por qué,dieu sait pourquoi,Gott weiß warum
310,guess who won,guess who won,adivina quién ganó,devinez qui a gagné,"Rate mal, wer gewonnen hat"
311,hand it to me,hand it to me,dámelo,donne-le-moi,gib es mir
312,hang on tight,hang on tight,Agárrate fuerte,accroche toi bien,halt dich fest
313,have a cookie,have a cookie,tener una galleta,avoir un biscuit,einen Keks haben
314,have him come,have him come,haz que venga,qu'il vienne,lass ihn kommen
315,have some ham,have some ham,tener un poco de jamón,avoir du jambon,etwas Schinken haben
316,he broke them,he broke them,los rompió,il les a cassés,er hat sie gebrochen
317,he can't sing,he cannot sing,el no puede cantar,il ne peut pas chanter,Er kann nicht singen
318,he can't swim,he cannot swim,el no puede nadar,il ne peut pas nager,er kann nicht schwimmen
319,he cheated me,he cheated me,él me engañó,il m'a trompé,er hat mich betrogen
320,he cracked up,he cracked up,se partió de risa,il a craqué,er brach zusammen
321,he drank beer,he drank beer,bebió cerveza,il a bu de la bière,er hat Bier getrunken
322,he dropped it,he dropped it,lo dejó caer,il l'a fait tomber,er hat es fallen lassen
323,he dug a hole,he dug a hole,cavó un hoyo,il a creusé un trou,er hat ein Loch gegraben
324,he eats a lot,he eats a lot,el come mucho,il mange beaucoup,Er isst viel
325,he feels hurt,he feels hurt,se siente herido,il se sent blessé,er fühlt sich verletzt
326,he fooled her,he fooled her,él la engañó,il l'a trompée,er hat sie getäuscht
327,he got caught,he got caught,quedó atrapado,il s'est fait prendre,er wurde erwischt
328,he has a book,he has a book,el tiene un libro,il a un livre,er hat ein Buch
329,he has a cold,he has a cold,él está resfriado,il a un rhume,er ist erkältet
330,he has a maid,he has a maid,el tiene una sirvienta,il a une bonne,Er hat ein Dienstmädchen
331,he has braces,he has braces,el tiene frenos,il a des bretelles,Er hat eine Zahnspange
332,he hugged her,he hugged her,él la abrazó,il l'a embrassée,er umarmte sie
333,he ignored me,he ignored me,el me ignoro,il m'a ignoré,er ignorierte mich
334,he is british,he is british,El es británico,Il est britannique,er ist britisch
335,he is english,he is english,El es ingles,il est anglais,Er ist englisch
336,he is a thief,he is a thief,el es un ladron,c'est un voleur,er ist ein Dieb
337,he is awesome,he is awesome,el es asombroso,il est génial,er ist toll
338,he is foolish,he is foolish,el es tonto,il est stupide,er ist dumm
339,he is my boss,he is my boss,él es mi jefe,c'est mon patron,er ist mein Chef
340,he is my type,he is my type,el es mi tipo,il est mon genre,er ist mein typ
341,he is no fool,he is no fool,el no es tonto,il n'est pas idiot,er ist kein Narr
342,he is out now,he is out now,el esta fuera ahora,il est sorti maintenant,jetzt ist er raus
343,he is reading,he is reading,él está leyendo,il lit,er liest
344,he is running,he is running,él está corriendo,il est en cours d'exécution,er rennt
345,he is skating,he is skating,el esta patinando,il patine,er skatet
346,he is too old,he is too old,el es demasiado viejo,il est trop vieux,er ist zu alt
347,he killed him,he killed him,el lo mato,il l'a tué,er hat ihn getötet
348,he left early,he left early,se fue temprano,il est parti tôt,er ging früh
349,he lied to me,he lied to me,el me mintio,il m'a menti,Er hat mich angelogen
350,he liked that,he liked that,le gustó eso,il aimait ça,das gefiel ihm
351,he looks pale,he looks pale,se ve pálido,il a l'air pâle,er sieht blass aus
352,he looks well,he looks well,se ve bien,il a l'air bien,er sieht gut aus
353,he loves toys,he loves toys,le encantan los juguetes,il aime les jouets,er liebt Spielzeug
354,he made me go,he made me go,me hizo ir,il m'a fait partir,er hat mich gehen lassen
355,he pinched me,he pinched me,me pellizcó,il m'a pincé,er hat mich gekniffen
356,he seems kind,he seems kind,parece amable,il a l'air gentil,er wirkt freundlich
357,he sells cars,he sells cars,el vende autos,il vend des voitures,er verkauft autos
358,he shot at me,he shot at me,me disparó,il m'a tiré dessus,er hat auf mich geschossen
359,he smells bad,he smells bad,huele mal,il sent mauvais,er riecht schlecht
360,he talks well,he talks well,el habla bien,il parle bien,er redet gut
361,he touched me,he touched me,Él me tocó,il m'a touché,er berührte mich
362,he tricked me,he tricked me,Él me engañó,il m'a trompé,Er hat mich ausgetrickst
363,he tries hard,he tries hard,se esfuerza mucho,il essaie fort,er bemüht sich
364,he walks fast,he walks fast,el camina rapido,il marche vite,er geht schnell
365,he wants more,he wants more,el quiere mas,il veut plus,er will mehr
366,he was crying,he was crying,él estaba llorando,Il pleurait,er weinte
367,he was stoned,he was stoned,él fue apedreado,il a été lapidé,er wurde gesteinigt
368,he went blind,he went blind,se quedó ciego,il est devenu aveugle,er wurde blind
